segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,segmentData18,segmentData19,segmentData20,segmentData21,segmentData22,segmentData23,segmentData24,segmentData25,segmentData26,segmentData27,segmentData28,segmentData29,segmentData30,segmentData31,segmentData32,segmentData33,segmentData34,segmentData35,segmentData36,segmentData37,segmentData38,segmentData39,segmentData40,segmentData41,segmentData42,segmentData43,segmentData44,segmentData45,segmentData46,segmentData47,segmentData48,segmentData49,segmentData50,segmentData51,segmentData52,segmentData53,segmentData54,segmentData55,segmentData56,segmentData57,segmentData58,segmentData59,segmentData60,segmentData61,segmentData62,segmentData63,segmentData64,labels
-35.14287,-39.57871,14.1325,-55.9651,-57.16461,-90.26808,-78.34099,-39.42302,-59.10609,-51.38304,-7.541919,-50.67264,-83.54098,-38.80017,-8.590174,-62.40254,-58.61078,-41.72222,-16.90485,-42.11499,-78.73167,-138.0673,-112.6788,-110.958,-134.4311,-83.32314,-62.68725,-91.01926,-90.10551,-145.426,-57.41897,-69.69656,-50.1447,-55.28049,-65.75005,-72.81517,-51.14207,-84.56577,-70.94718,-43.47667,76.55915,-8.115067,-48.7281,172.029,-5.84504,-65.12933,-64.13643,-29.91864,-71.81053,-63.34476,-57.5331,-88.33501,-48.88377,-85.81505,-21.03586,-76.01274,-25.79394,-45.40876,-111.2697,17.05832,-28.23354,-36.22282,-39.28456,-4.96207,TASK4T0
23.17081,83.14307,44.56387,57.89157,57.46056,65.78469,78.66005,52.40149,58.83475,53.36788,81.54793,15.57249,61.82652,57.07496,20.61635,55.3183,41.21732,44.87915,20.39434,32.5329,44.85648,14.86452,-1.802984,73.35774,37.05923,95.56364,26.68737,9.762127,27.87703,52.75664,57.79119,69.48254,63.7954,38.82747,22.3493,25.73749,20.08071,9.368154,12.03019,5.095242,36.22459,14.75477,-28.44235,-0.6313913,30.29068,37.69648,-1.283262,42.90031,32.33102,3.348205,23.38094,91.85423,39.46242,63.76142,9.977507,62.60904,-55.71388,15.59235,57.85313,54.10447,9.788629,-0.8638182,26.64923,-28.55038,TASK4T1
23.09548,55.86952,24.09135,40.87365,38.37538,48.74291,53.08072,37.48654,30.67448,35.78636,64.03339,3.135776,52.39499,45.30456,26.098,40.1778,31.98073,26.95969,1.231848,11.83332,16.22253,-13.07037,-33.2492,41.04429,-3.713517,57.7694,-5.704653,-18.84101,-9.539016,32.82946,18.50842,24.84157,28.29501,5.594223,4.870769,11.22383,11.20798,19.59013,-17.01138,9.489144,38.47224,-19.77867,-50.56044,4.536193,7.27677,15.04793,-20.64194,22.16286,5.050093,-21.90818,1.292392,66.28211,14.38945,51.05304,-7.622238,46.36011,-72.47784,-6.158394,52.0932,41.72448,-16.31406,-17.51288,16.55929,-38.37197,TASK4T1
-5.598779,40.4898,16.52846,28.3866,28.88016,43.29252,46.23041,12.39379,25.89137,27.01306,52.93628,-8.46817,49.13993,48.90843,4.384219,35.7585,30.44219,24.5495,-3.961104,13.81467,30.05047,-13.19522,-34.47817,42.22678,3.001466,55.46372,-1.237724,-10.38217,-17.54679,16.16935,21.48573,38.6245,42.45938,15.98385,11.01409,23.99673,32.70206,23.48143,14.63674,8.997577,71.65043,23.22074,-19.86914,17.78793,49.38559,70.15363,14.62926,62.44765,56.10214,40.40385,48.9595,114.7273,65.87403,103.5921,44.29365,113.0693,-7.642153,49.93043,109.9785,112.2123,52.88263,45.03893,71.02585,26.84406,TASK4T1
51.37159,74.50871,43.62107,51.62671,53.8196,63.42819,75.42883,68.34897,62.75079,56.67752,78.10821,16.32653,76.04747,62.57737,40.89939,66.63174,46.91072,38.66848,22.12213,33.12813,41.56628,-2.918047,-21.72769,37.059,20.23236,73.36554,11.80111,7.628114,42.78155,71.92375,49.69563,57.92306,53.56438,19.75279,19.57561,17.09575,35.55849,28.31612,21.23473,15.32326,34.99784,-8.775119,-25.11374,11.02768,22.25368,34.05669,-19.06569,18.89058,24.56392,-3.403094,9.168628,74.33813,24.17371,53.84429,1.067036,52.30405,-65.35352,0.5331858,56.0377,49.89316,-10.63157,-12.3702,16.607,-38.82164,TASK4T1
8.800923,48.7564,21.58595,30.48527,26.91728,34.30824,53.0927,16.51608,25.18201,23.92139,52.26121,-10.7903,46.38607,28.77718,-18.04135,26.24326,4.489688,11.0277,-10.87684,-1.72026,0.1326111,-23.26279,-41.83937,44.93701,-10.03624,46.4315,-10.25953,-18.21645,9.154791,20.15003,3.78142,19.25619,27.20571,0.3572409,-10.64552,1.747432,20.13125,13.86926,-29.95198,13.21086,24.27253,7.043673,-33.8248,-9.735115,20.46324,27.97532,-24.09528,18.79747,10.8181,-13.20283,3.505616,61.23643,25.60204,47.19356,8.971186,59.99307,-59.69579,0.2905155,54.99447,65.93338,-7.739365,-4.284552,29.77258,-18.02771,TASK4T1
10.39346,30.25405,25.60818,23.09543,24.68674,33.66125,61.20418,31.98523,14.72191,15.60414,43.58963,-8.731914,52.9599,43.71074,-13.47723,44.96482,18.82904,16.2718,-5.414835,4.035358,31.7886,-12.73206,-34.67416,50.70751,4.313962,50.40763,-6.00108,-12.71326,9.219821,52.50024,16.03879,25.53093,25.35132,7.293693,4.661413,14.33181,25.12719,10.91735,-3.880624,20.01075,44.26917,32.82161,-22.17261,29.90652,25.33642,47.56001,-12.43053,26.43947,21.58817,-0.4780941,17.22676,74.46848,35.01825,51.11224,21.59264,81.02627,-49.69184,11.77116,73.55888,69.99641,-6.068343,8.439109,32.44601,-3.717675,TASK4T1
20.44211,33.06809,25.60363,22.02358,25.36857,27.53149,59.67589,28.24715,21.59808,18.07977,38.57362,-15.29875,66.37003,43.46108,-18.73403,38.44616,6.206334,12.42226,-11.97338,-0.02326952,4.355916,-35.85549,-52.88745,33.41249,-24.6499,31.13307,-18.59468,-17.65779,-6.760243,26.32879,-2.168782,0.6924045,10.62641,-10.1979,-13.46955,-5.535196,23.26211,8.904165,4.102844,-0.9890825,24.48603,-2.569273,-35.37769,4.398449,4.796253,13.4094,-34.3738,3.881048,0.6021841,-25.06677,-7.179532,50.01341,9.210712,39.00963,-2.922929,57.49133,-74.47722,-11.06623,52.53413,69.32874,-23.50842,-14.49008,16.04634,-35.14046,TASK4T1
-22.62973,24.17246,20.04115,11.06217,12.605,13.30272,36.6856,22.84764,10.88674,12.58088,37.18983,-25.39607,53.38361,22.79398,-16.79273,31.21572,-0.2446276,11.1997,-21.69753,-5.507542,5.180253,-28.47283,-47.60351,13.56795,-13.55739,38.30059,-18.60758,-19.45366,11.00828,27.83058,8.753765,12.5429,19.34153,-7.861589,-12.58492,-3.351914,42.23038,19.65491,-5.08501,11.65935,30.67122,-4.310341,-23.52197,-4.02812,19.82201,31.0544,-24.70963,7.789213,15.36213,-2.513661,5.192628,70.27122,21.70203,52.90371,3.911622,70.27441,-43.14608,6.915503,67.7536,79.26265,1.223758,13.20034,43.9065,11.81347,TASK4T1
22.96558,34.6682,31.42662,13.51566,18.21095,19.98296,63.80571,33.74073,15.23628,13.17823,32.67712,-22.15497,60.91653,28.05182,-21.32176,51.42369,7.724494,7.610163,-17.65779,-3.068,3.124843,-27.73263,-49.1323,29.5157,-4.784489,33.21676,-19.42462,-18.13944,-15.17775,44.07075,6.86397,5.613555,15.40288,-10.42046,-16.75023,-2.397404,39.5574,5.254973,4.774998,12.07406,30.81523,21.09599,-22.25889,32.13868,10.67815,35.00461,-18.94969,6.935811,3.288747,-17.95041,-6.003252,50.43544,12.62836,33.93538,9.19234,59.26021,-54.03248,-7.058552,52.27101,59.05945,-23.83502,-7.873191,18.75274,-25.82526,TASK4T1
-31.62345,-9.230513,6.936876,-12.48666,-13.19735,-9.069217,30.859,-4.828351,-20.73071,-20.92063,-1.464102,-49.18841,34.50453,3.587081,-71.61392,15.17,-39.24527,-26.01467,-49.78633,-34.65248,-23.11021,-42.42322,-66.58848,18.66145,-48.00142,9.828817,-44.53436,-44.21858,11.03774,0.8068754,-27.81297,-29.57279,-16.61152,-41.55682,-53.86561,-36.14904,1.556057,-13.45759,-40.83032,-0.5125455,-17.96533,0.02806184,-62.70088,9.030837,-30.03553,-0.4485326,-61.60014,-38.1323,-29.40873,-52.27658,-35.32037,15.60681,-17.01806,-3.43857,-16.02212,34.18888,-79.38952,-34.65409,36.34453,43.46533,-47.86917,-25.13122,0.7255324,-20.37312,TASK4T1
-20.20362,-6.212091,10.89506,-21.19955,-14.10484,-17.59773,32.42572,0.8679418,-28.34455,-24.00447,3.309172,-45.1375,41.33605,0.1006374,-59.61712,20.10031,-34.55528,-11.99183,-43.92841,-32.40297,-12.97981,-46.72044,-64.42425,16.25437,-28.35758,10.8754,-39.59756,-30.61526,-11.05951,-0.9863228,-22.62701,-25.96655,-12.08582,-28.85313,-35.1221,-22.68565,22.95073,-14.96296,-12.25729,3.342393,-1.979,23.22027,-50.66175,12.58708,3.131523,16.60326,-30.42703,-7.783439,-5.678456,-28.48009,-15.61592,38.0279,4.224916,23.92218,6.860722,64.0078,-57.47489,-12.82889,53.6265,68.24118,-17.12395,-5.630478,26.20396,-12.50947,TASK4T1
-5.433502,5.16886,26.58359,-13.20925,-7.513587,-7.444325,45.71717,27.00888,-18.56972,-11.87965,7.020734,-48.34056,50.4811,4.513744,-32.19699,35.31228,-25.82427,-7.78118,-47.23349,-28.75291,-25.86119,-39.52851,-57.91039,21.30741,-22.39206,16.32646,-36.16958,-30.74833,-1.899211,16.91734,-11.12585,-22.61399,-12.52394,-33.45345,-44.08453,-25.88086,30.52175,-6.194737,-4.350939,-8.210511,9.759534,-9.838161,-53.55762,-3.44967,-5.585753,-0.08090444,-46.07458,-34.30672,-34.36575,-61.21026,-37.84525,26.4421,-20.46172,-5.258755,-21.70957,19.47148,-78.54684,-40.71398,22.92821,35.27224,-57.97847,-39.7993,-9.607351,-56.53764,TASK4T1
