segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-6.959564,20.66321,9.435489,11.27783,8.658228,-31.27088,5.728579,11.35427,-3.483836,-11.47247,-10.31657,3.466188,-18.55641,8.264525,6.124005,23.31129,boundary
-10.95424,20.32627,4.637281,9.8904,7.289759,-27.21659,4.962765,7.62699,-4.022158,-16.10946,-8.635598,2.270835,-26.8262,7.701874,1.465457,19.75452,boundary
-9.527128,16.15586,10.74025,9.947897,7.333632,-27.28385,5.478378,7.876233,-4.949464,-12.4426,-13.1047,4.181884,-15.16107,7.317979,4.940533,20.8315,boundary
-2.72842,20.93741,7.280679,9.991671,5.635298,-25.27943,3.53923,7.827969,-2.836313,-9.54077,-13.54287,4.620407,-20.3328,9.207519,1.697891,18.64544,boundary
-10.24772,14.35892,13.24301,9.222366,7.629965,-16.92838,3.150489,3.111954,-6.218157,-16.70081,-12.47359,11.20575,-15.31238,13.50697,2.702036,19.46858,boundary
-4.23831,12.59425,19.63753,12.47991,8.982226,-8.133445,4.209678,5.533421,-6.480313,-5.438705,-16.39336,16.48577,-5.361082,17.22686,6.506514,23.13961,boundary
1.335488,14.69806,14.58692,13.66575,6.177298,-4.773815,5.288371,4.507447,-5.954199,-6.524268,-14.6229,16.08486,-11.49061,18.67526,3.063184,19.45336,boundary
-1.288868,13.0931,21.58422,13.09636,7.841754,-2.061183,3.15182,2.799768,-4.292394,-6.120121,-14.32104,23.35991,-2.278605,23.46447,6.310853,21.30231,boundary
4.545005,7.785985,24.76728,15.12762,9.267056,10.70068,2.332261,3.658191,-9.433321,-0.4586678,-19.29703,26.77312,0.8389356,27.99583,7.172809,23.31944,boundary
5.919762,8.351857,24.52446,18.79271,10.21577,15.10795,5.457764,4.205454,-7.352554,-2.745207,-14.39257,29.33125,0.6431324,29.37289,7.238357,23.88092,boundary
-6.959564,20.66321,9.435489,11.27783,8.658228,-31.27088,5.728579,11.35427,-3.483836,-11.47247,-10.31657,3.466188,-18.55641,8.264525,6.124005,23.31129,boundary
-10.95424,20.32627,4.637281,9.8904,7.289759,-27.21659,4.962765,7.62699,-4.022158,-16.10946,-8.635598,2.270835,-26.8262,7.701874,1.465457,19.75452,boundary
-9.527128,16.15586,10.74025,9.947897,7.333632,-27.28385,5.478378,7.876233,-4.949464,-12.4426,-13.1047,4.181884,-15.16107,7.317979,4.940533,20.8315,boundary
-2.72842,20.93741,7.280679,9.991671,5.635298,-25.27943,3.53923,7.827969,-2.836313,-9.54077,-13.54287,4.620407,-20.3328,9.207519,1.697891,18.64544,boundary
-10.24772,14.35892,13.24301,9.222366,7.629965,-16.92838,3.150489,3.111954,-6.218157,-16.70081,-12.47359,11.20575,-15.31238,13.50697,2.702036,19.46858,boundary
-4.23831,12.59425,19.63753,12.47991,8.982226,-8.133445,4.209678,5.533421,-6.480313,-5.438705,-16.39336,16.48577,-5.361082,17.22686,6.506514,23.13961,boundary
1.335488,14.69806,14.58692,13.66575,6.177298,-4.773815,5.288371,4.507447,-5.954199,-6.524268,-14.6229,16.08486,-11.49061,18.67526,3.063184,19.45336,boundary
-1.288868,13.0931,21.58422,13.09636,7.841754,-2.061183,3.15182,2.799768,-4.292394,-6.120121,-14.32104,23.35991,-2.278605,23.46447,6.310853,21.30231,boundary
4.545005,7.785985,24.76728,15.12762,9.267056,10.70068,2.332261,3.658191,-9.433321,-0.4586678,-19.29703,26.77312,0.8389356,27.99583,7.172809,23.31944,boundary
