segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-5.767877,-2.611612,9.038204,-14.13147,-4.242571,-20.45012,-8.84607,2.141995,-5.756517,-3.818883,2.339118,-16.96314,-36.47528,-5.284991,-0.2944225,-2.551804,boundary
-4.086761,-4.606673,18.36468,-9.126627,-0.0848714,-14.75029,-3.004241,4.317382,-6.391778,0.5340852,8.023311,-9.438177,-29.23929,2.180121,9.40008,3.528085,boundary
-7.668758,-1.833145,24.21067,-11.89873,-0.1835939,-15.65818,-0.4072613,2.488624,-4.788608,-6.168,7.335574,-6.87035,-22.52886,3.775156,11.75975,4.857077,boundary
-8.288401,-0.8645508,26.11089,-11.56124,1.017921,-18.56528,1.400363,1.939271,-4.431637,-8.368207,7.771977,-2.900058,-5.655167,3.089723,13.6285,6.869858,boundary
-8.839126,1.23892,34.63351,-9.171901,3.986517,-13.74265,5.683152,3.224494,-4.584269,-8.731026,12.33631,3.644997,-13.64551,9.329973,19.56346,12.61161,boundary
-10.60373,-3.484718,35.11983,-13.31973,0.4505277,-13.953,4.012101,0.2560285,-5.535291,-10.13234,13.60191,1.606155,3.222562,8.34021,18.07997,9.501287,boundary
-12.21091,-0.5698397,43.21332,-11.26521,3.460327,-18.55551,4.45857,0.3324447,-3.626575,-15.33182,7.71054,10.64291,8.230951,9.872921,20.59047,12.60062,boundary
-13.7496,2.498184,40.48089,-12.82393,2.779608,-17.61084,4.736997,0.8208402,-2.853852,-17.51677,6.452699,8.201755,-8.203097,10.16338,18.31474,12.7069,boundary
-15.93255,-7.176575,34.78374,-18.75578,-3.830642,-19.08309,-3.933151,-2.796008,-6.506826,-18.50484,-0.5032301,2.321903,14.94092,3.888617,10.67418,6.927643,boundary
-14.95782,-5.436521,44.12547,-13.93456,-1.802667,-19.56007,-5.331622,-0.320517,-4.512434,-18.68926,0.4472511,10.68057,-14.82607,8.803094,12.24654,8.506597,boundary
