segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
-1.698257,0.0433418,-0.4197752,-3.372368,-1.215979,-3.868025,-1.924364,-0.2185825,-4.005254,-1.837896,-2.252007,-6.616036,11.71632,2.089603,-3.297673,-0.3123267,0.3117135,S  1
2.468131,0.7627319,1.547526,-4.054462,-2.037902,1.390259,-3.184771,-0.2890628,-3.881489,2.512157,-0.5200836,-5.653858,-10.95149,-8.935216,-1.314001,-1.425822,0.3950719,S  1
3.49891,0.4160949,1.504468,-0.1749836,-2.341132,3.318675,-3.104393,1.621528,-4.389586,4.379344,0.2942498,-5.682518,-2.619536,-4.003805,0.7136992,-1.462971,0.7682922,S  1
4.93367,0.6570267,1.306511,2.191914,-0.9402716,8.331611,-0.7506471,1.227497,-4.786607,7.226817,-0.01097608,3.309357,8.868042,4.703748,3.305011,0.9375375,3.01246,S  1
7.582065,1.832946,1.899928,0.7870244,-1.144102,9.064118,-0.8809265,1.596396,-3.048466,10.15383,2.115311,-3.41922,-4.691183,-2.850612,3.265948,0.3465242,3.626307,S  1
6.665203,2.497487,0.7482382,0.8142272,-2.644804,8.920218,-1.496518,1.472517,-3.209446,10.56015,1.072122,-1.865682,-0.5229762,-0.6976236,2.316542,-0.8141862,0.8099856,S  1
4.661748,6.01122,0.6678849,-0.9469678,-1.65112,7.494348,3.489614,0.4920923,-2.559427,8.840897,7.245039,3.31732,5.676679,2.870596,1.847827,2.662047,1.548312,S  1
5.780607,3.237811,2.512357,1.004201,-0.5053912,8.101906,1.872069,1.881394,-1.197202,13.55709,5.058434,3.496415,7.909022,6.769552,3.596896,3.186059,4.476202,S  1
4.269558,3.875979,1.201444,0.5722241,-0.5000875,6.486137,-0.07142726,1.339069,-0.2156874,7.807664,2.15522,7.105442,-1.282879,2.862051,1.504887,0.6612312,1.706743,S  1
-0.7826532,7.496225,-0.7211499,-4.693988,-2.594812,-2.368312,4.265919,-1.056976,-0.6332954,2.515152,8.360198,-6.781421,0.7180827,-2.339113,-5.174907,1.805815,-2.162322,S  1
2.927841,2.455925,2.176938,4.091126,3.756674,3.037803,4.351723,1.341153,-1.964329,3.28992,-3.99876,2.277007,1.530361,4.805365,3.660122,5.068053,6.0097,S  2
4.319836,2.178432,4.591313,6.479163,6.205106,3.719481,2.602378,-0.3967232,-0.540061,-0.557054,-4.733095,2.149952,16.66724,10.24423,5.645416,6.845634,10.1532,S  2
1.941576,-0.3945946,1.523173,4.292014,1.45493,3.928157,-0.1152697,0.2038561,-2.081553,-2.058856,-7.143866,8.857706,-3.122281,2.342031,5.977671,1.404888,6.784624,S  2
1.596403,2.638943,0.8711753,3.582621,2.907447,4.800914,4.24589,0.9468299,-0.185696,1.192441,-1.950364,4.228607,3.104342,5.908577,5.859418,4.619685,5.661557,S  2
0.2903994,2.200327,2.032558,3.15091,4.348192,2.758594,1.93156,-0.9654499,-0.3235141,-6.158889,-2.201342,14.61599,10.34751,13.95001,6.399915,6.10274,8.641308,S  2
-4.137065,0.3250782,-2.043698,-4.656132,0.3417952,-1.788259,0.2992594,-3.276062,-0.3149379,-6.478253,-7.004353,-2.314602,1.319803,3.370774,-0.7433291,1.199193,1.009176,S  2
-0.827792,1.155149,-0.6179598,-0.05792412,0.9952687,3.885755,2.9686,-1.184204,1.536084,-1.851325,-2.647914,4.527862,2.205467,3.704671,4.079232,2.634501,1.680083,S  2
-2.274038,0.3319823,1.023391,2.487243,2.036757,1.655305,2.613634,-0.9278194,-1.408849,-6.855948,-2.822034,16.52128,7.798682,14.14736,5.512805,5.827571,5.301558,S  2
-3.85945,1.591636,-1.717801,-2.517665,1.113191,-0.8702829,2.845718,-2.739283,-0.1878878,-2.843867,-4.080767,2.45992,7.831481,7.937391,-0.2147882,4.376284,0.07156307,S  2
-1.926282,-0.8242984,-3.371416,-2.369286,-2.285771,-0.1008561,0.8227454,-1.971485,0.204304,-0.7932274,-3.120333,-5.687557,-3.836321,-2.12542,-2.503074,-0.4338662,-4.397366,S  2
-0.8776386,-0.7814646,0.5719753,3.66828,0.7414227,1.98243,2.000724,-0.5548178,-1.575902,-0.5902947,-3.545395,6.730894,2.197695,7.219373,2.697089,3.781707,0.05520187,S  2
0.8779048,1.316839,1.065722,6.984548,1.888261,1.753513,5.362952,-0.005351868,-1.496803,2.672112,-0.392826,9.943967,13.57922,9.600809,3.234621,7.355192,3.106135,S  2
1.050458,-1.557219,-4.214564,3.072404,-4.194294,0.6701491,-2.567755,0.2944369,-2.631453,4.597955,-1.262716,-7.917573,-7.935579,-3.825002,-2.360818,-2.104515,-4.941355,S  2
2.566635,0.86968,-0.03297909,7.832341,1.134466,2.668244,2.191709,1.026181,-0.0373759,6.150213,2.561128,2.631706,0.8716674,3.305716,1.867901,3.360648,-1.334376,S  2
3.296053,-1.177772,-0.4687949,9.682078,-1.704424,2.054217,0.1586853,1.088943,-1.839563,5.774313,2.596566,0.5522687,-2.13437,-2.503903,0.5877249,1.112112,-0.2511561,S  2
2.300632,-1.542689,-3.543699,8.625934,-4.156803,0.773035,-5.350318,1.960811,-1.975946,4.099563,3.599386,-3.641672,-5.31806,-3.508232,0.4717017,-3.13212,-2.378825,S  2
