segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
11.44727,8.353381,9.50632,9.707242,5.496604,3.372144,12.56787,11.66672,29.33999,10.77688,19.98211,30.29292,6.8818,9.512,-3.620167,-15.65109,9.053741,boundary
12.42443,5.249634,11.69367,12.42053,7.277032,5.44069,13.84915,10.80529,26.14716,11.08566,13.97712,36.65792,18.32593,19.91017,-0.8383273,-12.40382,12.45066,boundary
11.51507,3.70845,9.69599,11.7007,4.456006,5.556452,8.182235,10.54828,25.56432,8.723671,12.96148,32.73549,-0.1386975,8.673537,-1.108193,-18.10413,9.2061,boundary
12.65211,8.396798,10.29325,13.20973,7.048346,4.324536,11.93797,9.700863,25.88649,11.27122,16.75715,22.16148,3.100844,7.80826,-2.971842,-13.07726,9.336165,boundary
12.49449,6.457166,11.88297,15.78983,9.322927,9.121369,17.55122,8.00446,22.8255,9.491587,13.69165,36.54641,24.89917,24.7976,4.734346,-6.488787,15.46503,boundary
10.90103,2.304852,9.461386,12.42406,4.82621,8.285298,8.602456,7.486163,20.06099,5.193336,5.838986,34.60989,6.089131,14.09824,1.962069,-12.9125,9.931964,boundary
9.664353,7.07752,9.624762,10.01563,6.740111,4.548875,11.53624,6.735378,20.15893,9.058098,14.82912,15.06128,2.979103,7.033397,-3.177131,-10.45978,8.377701,boundary
10.14445,6.700043,9.707838,12.26339,9.095118,10.24999,15.52578,5.840191,17.25084,8.395603,10.68789,35.53424,19.71495,23.17787,5.775798,-2.601743,14.64495,boundary
8.894834,2.687145,7.028778,7.344169,4.163306,7.299279,10.36219,5.954795,15.03463,5.675001,5.309649,27.39835,10.30288,14.02706,0.9313312,-7.138913,8.262049,boundary
5.684297,5.921334,7.098638,4.337171,5.308446,4.546716,12.23868,5.242834,14.1535,4.60889,12.48233,17.70241,9.001204,9.986377,-1.520721,-5.654172,7.767495,boundary
11.44727,8.353381,9.50632,9.707242,5.496604,3.372144,12.56787,11.66672,29.33999,10.77688,19.98211,30.29292,6.8818,9.512,-3.620167,-15.65109,9.053741,boundary
12.42443,5.249634,11.69367,12.42053,7.277032,5.44069,13.84915,10.80529,26.14716,11.08566,13.97712,36.65792,18.32593,19.91017,-0.8383273,-12.40382,12.45066,boundary
11.51507,3.70845,9.69599,11.7007,4.456006,5.556452,8.182235,10.54828,25.56432,8.723671,12.96148,32.73549,-0.1386975,8.673537,-1.108193,-18.10413,9.2061,boundary
12.65211,8.396798,10.29325,13.20973,7.048346,4.324536,11.93797,9.700863,25.88649,11.27122,16.75715,22.16148,3.100844,7.80826,-2.971842,-13.07726,9.336165,boundary
12.49449,6.457166,11.88297,15.78983,9.322927,9.121369,17.55122,8.00446,22.8255,9.491587,13.69165,36.54641,24.89917,24.7976,4.734346,-6.488787,15.46503,boundary
10.90103,2.304852,9.461386,12.42406,4.82621,8.285298,8.602456,7.486163,20.06099,5.193336,5.838986,34.60989,6.089131,14.09824,1.962069,-12.9125,9.931964,boundary
9.664353,7.07752,9.624762,10.01563,6.740111,4.548875,11.53624,6.735378,20.15893,9.058098,14.82912,15.06128,2.979103,7.033397,-3.177131,-10.45978,8.377701,boundary
10.14445,6.700043,9.707838,12.26339,9.095118,10.24999,15.52578,5.840191,17.25084,8.395603,10.68789,35.53424,19.71495,23.17787,5.775798,-2.601743,14.64495,boundary
8.894834,2.687145,7.028778,7.344169,4.163306,7.299279,10.36219,5.954795,15.03463,5.675001,5.309649,27.39835,10.30288,14.02706,0.9313312,-7.138913,8.262049,boundary
5.684297,5.921334,7.098638,4.337171,5.308446,4.546716,12.23868,5.242834,14.1535,4.60889,12.48233,17.70241,9.001204,9.986377,-1.520721,-5.654172,7.767495,boundary
4.810496,5.078468,5.376233,3.464061,5.931061,7.293388,10.48868,4.065436,11.58933,5.217699,5.849367,30.37746,17.37748,18.96442,1.621192,-0.9606705,9.8852,boundary
-6.681335,3.987191,-5.317007,-12.62785,-3.833805,-11.62115,1.567211,-2.843637,3.718282,1.32628,24.78832,-10.2723,-6.6625,-4.496752,-10.86739,-3.082809,-9.300602,S  1
-11.31175,0.8601863,-5.43277,-12.5803,-5.421166,-12.64599,-1.861894,-4.542533,3.057029,-22.95256,18.48293,-15.57651,-14.10564,-14.27109,-13.72041,-5.63276,-11.37411,S  1
-6.341868,-0.8022953,-5.52574,-14.50436,-6.141932,-14.87407,-3.654826,-1.15001,4.239133,2.418631,19.90275,-11.7886,-9.425464,-10.62983,-14.3882,-6.16977,-12.31852,S  1
-7.003797,-0.9396152,-4.977999,-9.608195,-4.912228,-9.751254,-1.649681,-3.823869,1.178045,-7.743319,13.59432,-5.116439,-8.405799,-7.342025,-7.969857,-3.171154,-7.93715,S  1
-9.228562,-1.948135,-3.214393,-7.817857,-3.836195,-10.31756,-1.351301,-4.092016,1.95466,-22.23853,16.42424,-10.32533,-4.589277,-6.911985,-8.152225,-2.408178,-6.769644,S  1
-2.486618,-5.530464,-4.414929,-6.646414,-6.065281,-10.95352,-5.60804,-0.3175551,-0.2681511,0.9406452,5.578026,-12.50039,-12.34849,-13.33104,-9.2683,-7.373157,-9.617511,S  1
-5.263755,-5.903497,-3.845566,-5.012023,-5.446269,-10.81256,-4.47926,-2.626992,-0.8610689,-7.552455,4.745266,-2.624722,-11.86777,-10.06312,-5.675676,-4.075287,-5.970288,S  1
-4.816129,-3.526808,-1.200798,-1.898381,-1.690492,-7.004892,-0.7903281,-2.760149,1.354885,-20.85732,8.498551,0.3775941,3.228889,1.771745,-1.327989,0.2994094,-0.932673,S  1
-3.623216,-7.609759,-3.479973,-1.859767,-5.24929,-8.216124,-7.559968,-2.854734,-2.005175,-8.858671,-1.26414,-14.20275,-18.89153,-16.50535,-6.42881,-8.600538,-6.74772,S  1
0.8554926,-11.4886,-3.840482,-1.428942,-5.92953,-7.836318,-9.078831,0.955298,-3.259276,5.828393,-5.706605,-3.102638,-5.814246,-6.048564,-3.139876,-4.381608,-3.419716,S  1
-1.377353,-5.054345,-1.078729,-0.3025174,-2.011122,-5.404503,-1.714657,-1.300038,-0.5685608,-13.26162,-1.830973,0.4567311,-1.594468,-1.03363,-1.26683,-1.730768,-0.00643409,S  1
-1.774703,-8.54388,-4.355445,-3.254233,-5.514292,-7.334339,-9.986465,-1.047356,-1.587617,2.060948,-3.368905,-15.07819,-22.06163,-15.4732,-6.91189,-10.2849,-6.416795,S  1
2.052357,-10.86353,-2.725269,-0.5528833,-4.372706,-1.20941,-9.783937,0.03048012,-3.257975,-1.369321,-10.93299,-0.6017966,1.588421,-0.3365002,-0.8297825,-2.657349,-0.2566543,S  1
3.565182,-7.534449,-2.334915,-2.405882,-4.425181,-3.797561,-5.837274,1.679905,-3.808353,10.08814,-12.96226,-8.457763,-7.268961,-6.564219,-4.736997,-6.204328,-3.526665,S  1
5.087997,-8.774384,-3.970208,-2.162922,-4.943439,-1.561742,-10.41369,3.733241,-3.071876,20.88644,-7.870965,-13.18493,-13.89099,-10.00038,-4.597016,-8.359588,-4.06959,S  1
1.848571,-6.970782,-1.377728,-1.664039,-2.730982,1.902237,-6.692547,-0.3542745,-2.303618,-3.402228,-11.15234,-0.8364087,-2.094231,-1.29477,-1.266549,-3.499011,-1.150802,S  1
