segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
-8.822891,-9.7942,-7.697146,-9.019155,-9.340944,-10.24903,-11.39698,-7.750386,-9.585693,-8.384285,-7.432447,-20.03298,-11.76534,-14.29954,-9.618999,-12.23559,-9.615667,boundary
-6.144241,-7.983679,-7.189693,-6.54645,-6.916018,-5.774879,-6.516165,-6.478378,-9.814786,-7.400505,-6.967366,-13.38465,-7.753599,-9.672551,-6.298489,-7.756042,-6.072383,boundary
-0.3627828,-0.4314669,0.1161837,-0.3129007,-1.223053,-0.5506893,-1.417349,-0.9863446,-2.398185,-1.23201,-0.8463005,-7.276947,-3.753981,-4.367207,-1.20564,-2.497241,-0.1925895,boundary
-13.77124,-11.79752,-12.97671,-13.20951,-13.2048,-13.85189,-13.12996,-13.16357,-14.04584,-12.38883,-9.787393,-18.21136,-13.75836,-16.21646,-13.58541,-13.70665,-13.85788,boundary
-4.404272,-6.130867,-6.229547,-6.868867,-6.829867,-4.026325,-5.961011,-4.862509,-7.57669,-5.735837,-3.133482,-8.572626,-8.131664,-8.294491,-6.399715,-7.779676,-6.959018,boundary
1.067715,4.185112,2.014965,1.665527,1.590065,2.044858,3.092448,0.3044001,1.029176,-0.9464265,2.089797,-0.3958037,0.8563007,-0.02722882,1.285077,1.296778,2.258379,boundary
-8.544211,-5.004769,-7.329579,-7.063942,-6.438943,-7.497185,-5.333961,-8.737879,-8.641223,-7.145146,-6.49201,-5.573213,-5.536936,-7.131789,-7.331648,-6.226752,-6.352488,boundary
-4.339613,-3.425878,-4.001453,-5.417684,-5.368205,-4.78931,-4.878652,-3.956595,-3.995627,-5.746111,0.3076861,-5.898816,-6.689016,-7.237418,-5.508773,-5.892727,-6.404346,boundary
-3.793516,1.299003,-1.761301,-3.417063,-0.967942,-2.96555,-0.079542,-3.144728,-0.1923199,-4.242998,-0.9951808,-3.252576,-1.145507,-3.514754,-3.239128,-1.680669,-2.047505,boundary
-0.3994328,3.147281,1.34697,1.545516,2.339287,0.2753263,3.745213,-1.158989,0.3299285,-0.8816283,0.6736137,4.900947,2.792299,1.717954,1.393865,1.255122,3.043947,boundary
-8.822891,-9.7942,-7.697146,-9.019155,-9.340944,-10.24903,-11.39698,-7.750386,-9.585693,-8.384285,-7.432447,-20.03298,-11.76534,-14.29954,-9.618999,-12.23559,-9.615667,boundary
-6.144241,-7.983679,-7.189693,-6.54645,-6.916018,-5.774879,-6.516165,-6.478378,-9.814786,-7.400505,-6.967366,-13.38465,-7.753599,-9.672551,-6.298489,-7.756042,-6.072383,boundary
-0.3627828,-0.4314669,0.1161837,-0.3129007,-1.223053,-0.5506893,-1.417349,-0.9863446,-2.398185,-1.23201,-0.8463005,-7.276947,-3.753981,-4.367207,-1.20564,-2.497241,-0.1925895,boundary
-13.77124,-11.79752,-12.97671,-13.20951,-13.2048,-13.85189,-13.12996,-13.16357,-14.04584,-12.38883,-9.787393,-18.21136,-13.75836,-16.21646,-13.58541,-13.70665,-13.85788,boundary
-4.404272,-6.130867,-6.229547,-6.868867,-6.829867,-4.026325,-5.961011,-4.862509,-7.57669,-5.735837,-3.133482,-8.572626,-8.131664,-8.294491,-6.399715,-7.779676,-6.959018,boundary
1.067715,4.185112,2.014965,1.665527,1.590065,2.044858,3.092448,0.3044001,1.029176,-0.9464265,2.089797,-0.3958037,0.8563007,-0.02722882,1.285077,1.296778,2.258379,boundary
-8.544211,-5.004769,-7.329579,-7.063942,-6.438943,-7.497185,-5.333961,-8.737879,-8.641223,-7.145146,-6.49201,-5.573213,-5.536936,-7.131789,-7.331648,-6.226752,-6.352488,boundary
-4.339613,-3.425878,-4.001453,-5.417684,-5.368205,-4.78931,-4.878652,-3.956595,-3.995627,-5.746111,0.3076861,-5.898816,-6.689016,-7.237418,-5.508773,-5.892727,-6.404346,boundary
-3.793516,1.299003,-1.761301,-3.417063,-0.967942,-2.96555,-0.079542,-3.144728,-0.1923199,-4.242998,-0.9951808,-3.252576,-1.145507,-3.514754,-3.239128,-1.680669,-2.047505,boundary
-0.3994328,3.147281,1.34697,1.545516,2.339287,0.2753263,3.745213,-1.158989,0.3299285,-0.8816283,0.6736137,4.900947,2.792299,1.717954,1.393865,1.255122,3.043947,boundary
-4.038076,-1.187945,-1.377179,-1.713349,-1.998876,-3.907394,-1.64036,-3.492063,-1.601163,-5.198041,-0.9636827,-2.408675,-1.354362,-2.727304,-1.600596,-1.777446,-2.116345,boundary
0.7127309,7.923701,5.555574,0.9555628,5.520643,0.1192133,5.80536,4.026018,7.690533,-0.6848801,4.345941,0.5893621,4.615246,3.387252,1.210834,7.359674,4.471455,boundary
-0.04712808,3.447751,2.282166,-1.15247,1.611229,-1.261214,4.195848,2.201818,2.965122,0.5159464,1.423158,1.432998,4.667506,1.397786,-1.984669,5.658962,0.4613728,boundary
1.192349,4.30371,3.03377,-0.5880949,1.740587,0.8449889,3.674675,2.308589,4.440219,0.1582995,1.505461,2.508203,1.508425,1.632461,-0.3220112,4.46667,0.543625,boundary
-4.317153,2.93657,-0.7386694,-3.560351,-0.5977128,-5.739331,0.5379362,-1.241295,1.754893,-3.998462,0.2884042,-2.19905,-1.822782,-1.418536,-3.582798,1.848688,-2.607782,boundary
2.759314,5.205372,3.959874,2.119755,3.648709,1.765409,6.155057,4.739573,4.79547,3.939844,3.805744,3.885456,5.156379,2.865253,1.011621,7.923036,2.584471,boundary
2.979157,4.991032,4.508004,2.599761,3.06787,1.977562,5.923986,4.303831,5.573555,2.94912,4.630052,2.195127,1.761331,2.050903,2.679523,7.275754,2.297513,boundary
-5.808193,-4.871845,-6.291789,-4.875273,-6.447521,-7.310277,-3.82482,-5.756495,-6.285423,-3.16773,-5.412715,-1.772551,-2.125242,-1.447864,-4.986382,-2.359716,-5.964143,boundary
4.338406,1.573861,2.967145,3.933351,2.000983,3.124309,3.34891,3.828497,1.810941,4.232298,3.182603,4.397938,2.088905,2.622273,3.631217,4.85219,3.278803,boundary
-0.3002099,-3.612496,-1.956404,-0.01862872,-3.441046,-1.519578,-0.2313963,-0.8516021,-4.131208,2.074496,-0.7471111,-1.282433,-2.024177,-0.8486921,0.1432284,0.7236954,-2.276575,boundary
-1.191002,-6.567647,-4.160246,-1.665902,-5.912251,-3.213591,-3.916224,-3.448173,-6.456935,0.4364016,-4.6152,-0.7179149,-1.342095,0.02939745,-1.871061,-2.165587,-3.883193,boundary
-2.165775,1.969794,-0.4230202,3.362752,5.431969,-2.017999,2.144967,-1.599421,0.4620161,-2.173136,-0.5191315,1.888599,4.438801,0.7381176,3.585749,3.165703,2.142899,boundary
-6.930593,-2.394506,-5.220193,-2.587745,-0.3792131,-6.884354,-2.718875,-6.679529,-3.81233,-6.978747,-2.007586,-3.23639,0.6973065,-2.083191,-1.938402,-1.479242,-2.801675,boundary
1.733076,2.828373,1.503911,5.919114,4.84382,2.32812,4.576939,0.964111,1.78159,1.182289,2.0879,2.813751,6.658552,4.876905,5.868526,4.80701,4.102124,boundary
7.410308,10.84488,9.049237,11.79669,12.8354,7.267955,9.880567,8.419872,9.502849,5.979572,10.8267,9.930236,11.52395,11.26694,12.18075,11.62974,10.69332,boundary
-4.235214,-2.807537,-3.723311,-2.230278,-1.355619,-5.007165,-3.846132,-4.203089,-2.269065,-4.229258,-2.656516,-2.997064,-0.9495355,-1.492068,-1.861983,-2.723096,-3.701341,boundary
-1.277491,0.5166603,-1.34799,1.867018,0.02762845,0.4837379,1.938739,-1.665244,-1.848465,-2.546264,2.873193,0.4815097,6.236676,5.030837,1.194726,0.6824707,-0.6762131,boundary
8.612681,8.147336,7.900193,10.32393,9.0577,8.664717,8.693327,9.565652,8.51939,9.247017,10.21765,9.230426,9.606507,12.14683,10.6969,9.359139,8.434479,boundary
2.701777,0.4656942,1.12421,2.502713,0.8259979,1.948763,-0.1925045,2.831111,1.518114,2.956005,-0.18572,1.55844,3.15645,3.73265,1.741276,0.455679,-0.504272,boundary
-4.410806,-1.392782,-3.838671,-2.500657,-3.352076,-2.935986,-2.575473,-4.286417,-3.31812,-5.324527,2.905952,-2.463264,1.377713,1.45221,-3.020151,-3.215889,-5.092319,boundary
2.180737,-0.5998291,-0.7099549,1.633687,-0.7692859,3.259541,1.381023,2.287073,-0.4323666,4.010192,1.139799,2.593874,3.188318,5.275618,1.442068,0.1415454,-1.508513,boundary
1.924884,-0.907504,-1.019998,0.3677128,-2.268519,2.832689,-1.166433,2.242297,-0.6627498,4.401721,0.5346222,0.01795413,3.486155,3.773734,-0.8372468,-0.8384131,-2.412179,boundary
-1.824542,-3.267458,-1.119276,-0.4393627,-2.336548,-0.7455595,-4.460666,-1.354729,-1.383982,-3.003272,-5.858462,-2.641651,-2.625911,-1.297459,-0.6068168,-4.972704,-1.588726,boundary
2.619653,2.673784,4.210008,4.233418,3.112446,3.574875,0.4574823,5.100635,3.820788,4.512526,0.6051818,2.938853,3.704227,3.112066,3.641646,1.507178,2.588364,boundary
-4.812096,-7.069099,-5.695097,-4.154276,-6.611258,-2.646725,-8.700255,-3.878739,-5.732612,-2.497124,-9.950593,-5.693695,-6.46408,-6.014961,-4.585132,-8.369196,-5.368965,boundary
-2.095288,-3.740564,-1.260209,-1.513653,-3.166198,-2.307655,-5.495338,-0.6593195,-1.763192,-2.008605,-4.35784,-4.76405,-3.668886,-4.076371,-3.024101,-5.32074,-2.392732,boundary
2.398432,0.2848251,4.194425,2.354175,1.023017,1.822287,-1.398357,5.530159,3.545715,2.94688,-2.858,-0.6559747,0.2953109,-1.325981,0.91275,-0.6507211,1.953051,boundary
-3.831428,-3.083718,-1.385538,-3.591363,-4.239639,-3.869166,-7.004375,-1.148991,0.4796683,-1.870248,-2.895195,-7.994189,-9.537436,-10.82602,-5.224767,-5.928192,-4.654699,boundary
-8.65589,-7.977562,-7.497285,-9.100875,-8.890205,-9.640345,-9.556206,-6.102459,-7.662503,-6.024222,-6.529624,-12.51226,-9.52967,-11.2303,-10.97447,-8.960741,-8.749178,boundary
3.11695,0.9634884,4.64203,2.071118,1.498853,1.757218,-0.6597726,5.935521,3.789797,3.345443,-1.882026,-3.094214,-1.0484,-4.054393,0.07379857,0.7024162,2.305098,boundary
-5.460304,-2.481273,-1.740391,-4.892219,-4.279438,-6.377533,-4.504901,-2.309674,0.03724898,-3.57198,0.5997795,-8.564905,-8.675533,-10.68651,-6.638362,-4.409989,-5.044322,boundary
-7.763667,-5.713709,-5.874118,-8.46013,-7.714118,-8.588484,-7.261878,-5.122888,-5.388687,-5.081971,-3.370476,-13.50321,-9.849299,-12.95912,-10.12542,-6.726105,-7.832579,boundary
-5.892632,-5.938247,-7.783537,-6.805138,-8.690006,-5.283998,-6.705411,-6.245641,-6.453698,-4.669398,-3.661638,-5.984557,-9.224422,-7.681708,-8.003654,-7.189713,-7.235633,boundary
-8.786544,-7.222073,-9.344167,-8.278474,-8.899702,-8.073741,-8.056863,-8.319099,-8.839952,-7.626531,-4.51701,-6.752888,-9.997968,-8.246553,-9.088556,-8.251696,-7.980813,boundary
0.8548204,2.546937,-0.0008026561,1.405324,1.803547,2.936185,4.98968,1.447639,1.090265,0.7091483,5.071455,5.147713,4.132435,4.10158,0.6166507,3.547535,2.817796,boundary
