segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-24.17208,-23.4274,-14.27049,-16.23749,-19.89286,-4.073536,-9.353152,-30.68412,-34.0205,-19.66566,-8.093177,-6.343286,0.3070346,-10.86499,-26.81418,-16.1686,boundary
-24.27487,-17.54963,-12.64609,-14.33417,-14.53365,-4.6099,-5.827305,-31.86947,-30.75953,-15.32765,-6.193261,-4.723134,3.402073,-7.983746,-25.02095,-10.2115,boundary
-22.31254,-11.24065,-7.889199,-10.71886,-6.880501,-3.053881,-2.997574,-30.69993,-26.78946,-12.8412,-4.142022,-0.2436125,8.029267,-6.36017,-18.2108,-1.745587,boundary
-18.48809,-17.10865,-8.439964,-9.89729,-13.68713,-1.417665,-14.2011,-27.71868,-28.62531,-16.47189,-5.844295,-5.320013,7.439368,-6.857845,-31.17572,-7.114525,boundary
-21.57425,-16.71826,-8.259543,-11.72362,-13.69388,-5.757087,-13.24402,-29.60532,-27.69624,-15.30738,-4.810246,-4.572086,8.237297,-8.238949,-32.52674,-7.366502,boundary
-19.22813,-5.919541,-3.161061,-8.348476,-3.517718,-3.881286,-2.204381,-27.78418,-22.15871,-6.362328,-2.761612,4.975825,12.80075,-8.103122,-19.94851,-0.4499048,boundary
-19.85601,-12.10099,-6.368186,-10.13443,-9.165084,-6.562897,-12.91472,-28.77169,-24.35396,-12.24178,-4.618295,-4.787211,10.42305,-7.662401,-30.58965,-3.030063,boundary
-19.27967,-14.44292,-3.632481,-9.330355,-9.793194,-7.517968,-14.22929,-25.75512,-23.88669,-12.79896,-3.227525,-1.342728,11.69731,-8.510086,-30.94715,-2.908613,boundary
-20.12049,-8.674381,-3.825078,-10.38769,-8.897451,-9.282149,-6.718457,-28.14379,-24.13046,-7.377244,-5.319266,0.9315055,10.12657,-13.27047,-29.07686,-7.02383,boundary
-18.22285,-7.067534,-1.479545,-7.38064,-4.323208,-7.658468,-2.4169,-25.43163,-20.61779,-5.340585,-1.003805,-0.125739,11.62701,-6.113103,-22.48205,-0.6703586,boundary
-24.17208,-23.4274,-14.27049,-16.23749,-19.89286,-4.073536,-9.353152,-30.68412,-34.0205,-19.66566,-8.093177,-6.343286,0.3070346,-10.86499,-26.81418,-16.1686,boundary
-24.27487,-17.54963,-12.64609,-14.33417,-14.53365,-4.6099,-5.827305,-31.86947,-30.75953,-15.32765,-6.193261,-4.723134,3.402073,-7.983746,-25.02095,-10.2115,boundary
-22.31254,-11.24065,-7.889199,-10.71886,-6.880501,-3.053881,-2.997574,-30.69993,-26.78946,-12.8412,-4.142022,-0.2436125,8.029267,-6.36017,-18.2108,-1.745587,boundary
-18.48809,-17.10865,-8.439964,-9.89729,-13.68713,-1.417665,-14.2011,-27.71868,-28.62531,-16.47189,-5.844295,-5.320013,7.439368,-6.857845,-31.17572,-7.114525,boundary
-21.57425,-16.71826,-8.259543,-11.72362,-13.69388,-5.757087,-13.24402,-29.60532,-27.69624,-15.30738,-4.810246,-4.572086,8.237297,-8.238949,-32.52674,-7.366502,boundary
