segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,labels
-5.52678,-11.60106,-5.546195,-8.751906,-13.32549,-10.01111,-12.74865,-0.4114887,-0.5471199,-1.254027,-17.75102,-18.01993,-9.551253,-10.99648,-11.11707,boundary
-6.470226,9.689226,-5.541873,-10.2841,-10.1485,-10.07728,8.576901,-1.751193,2.659863,-2.459866,-16.09017,-16.46302,-10.62148,-5.631139,-9.76282,boundary
-2.42065,-11.44363,-4.255825,-5.902369,-11.41145,-4.855661,-9.724661,0.006264912,-2.398049,3.008699,-10.00351,-8.302135,-5.336413,-5.384238,-5.881149,boundary
-3.542554,-5.029718,-2.719698,-5.995324,-8.914045,-8.511596,-3.120271,-1.082805,-0.3889727,-1.827064,-10.46209,-15.43797,-8.526762,-3.660927,-7.854221,boundary
-5.231074,2.250661,-4.572237,-10.2598,-11.04755,-7.760549,0.8212227,-2.232508,1.372618,-3.78729,-13.67495,-14.84086,-10.74242,-6.164688,-10.83351,boundary
-1.926085,-7.156182,-4.84371,-7.549423,-15.33263,-2.953788,-12.58893,-0.5661185,-1.477605,4.841281,-10.11149,-9.93727,-5.875054,-9.388585,-8.004516,boundary
-1.128188,-0.9922715,-1.568313,-3.454981,-5.597155,-3.416496,6.779416,-0.3869849,-1.732242,0.2190612,-2.431678,-6.935314,-5.006409,0.7442465,-4.140821,boundary
-1.176517,-5.395483,-2.323193,-5.351552,-9.631869,-1.787857,-7.507078,-1.086283,-0.8562185,0.8062556,-7.761616,-9.08532,-4.921888,-5.850302,-9.548533,boundary
-0.6889456,-0.06490187,-4.725298,-7.402626,-13.70866,-1.04165,-8.46718,-0.07005251,0.6339957,4.873975,-9.060824,-9.102921,-6.350831,-10.4503,-10.81998,boundary
0.7090543,-8.530889,-3.570604,-3.704939,-10.37012,1.118249,-2.99915,1.092879,-4.305678,3.931597,-2.204741,-3.787847,-3.187942,-6.714872,-6.871315,boundary
-5.52678,-11.60106,-5.546195,-8.751906,-13.32549,-10.01111,-12.74865,-0.4114887,-0.5471199,-1.254027,-17.75102,-18.01993,-9.551253,-10.99648,-11.11707,boundary
-6.470226,9.689226,-5.541873,-10.2841,-10.1485,-10.07728,8.576901,-1.751193,2.659863,-2.459866,-16.09017,-16.46302,-10.62148,-5.631139,-9.76282,boundary
