segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
-3.17032,1.071544,3.948303,-2.202123,5.564502,-0.9805194,-2.686895,-4.459942,-3.430155,0.3216482,-2.269951,0.764504,0.2396142,2.385182,boundary
-1.102711,-0.03739371,0.03753804,-1.959615,-2.770307,-0.8411008,-1.254408,1.70148,-4.789661,-0.6758679,-2.54385,-3.255991,0.8210987,-0.5624514,boundary
0.6944991,-1.306476,-0.8083635,-0.2115006,6.575928,2.632224,0.5657883,0.9464424,0.1015546,1.569509,-0.486734,-0.2974462,3.23651,1.31469,boundary
5.115761,2.146391,1.690385,2.101743,-5.255753,5.396318,3.29417,6.939375,0.3980119,3.893286,1.370919,-1.561125,5.832654,3.203919,boundary
1.385862,1.463924,1.570826,1.640817,11.46441,-1.697225,-1.243943,-1.161279,-1.079027,-4.269464,-2.531039,5.552155,-2.541414,-0.4926346,boundary
-0.1622724,-2.449844,-4.128745,-1.136874,-7.531687,-6.868376,0.8054345,3.082871,-7.562254,-9.747583,-8.001327,-4.218194,-7.346056,-4.849113,boundary
2.086898,-1.123386,-3.528301,-0.5093567,-14.83256,1.540279,-0.4507308,-7.866006,-6.858816,-8.126657,-6.679452,-6.118498,-5.659071,-5.05175,boundary
-2.355801,-0.1872351,0.04929755,-1.25944,6.714429,-6.875182,-1.516405,3.620333,-2.919163,-6.355834,-2.994109,2.987914,-7.231943,-1.822052,boundary
-3.859759,-1.926919,-1.741573,-2.342898,-7.151584,-11.47338,0.02407882,3.168197,-1.827929,-1.338627,-0.06658437,-0.4975618,-6.033676,-1.727128,boundary
3.615736,0.9781271,0.1321793,-1.399987,-0.03909422,3.127115,-1.397339,-8.983485,-4.310923,-5.001749,-3.877648,-0.03610261,-3.839658,-1.884997,boundary
0.4898089,-0.8788521,-0.9967775,-0.4656821,11.96962,2.11206,1.024819,11.74059,1.880446,-0.171847,1.468505,3.165405,-1.321245,0.2994059,boundary
-6.189104,-1.316045,1.478463,-3.413036,13.20625,-7.560455,-3.158216,-3.452347,1.937888,1.674029,2.407756,5.86212,-3.631442,-0.8567559,boundary
