segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,labels
-1.931055,-6.210831,-2.10865,-2.218978,-5.977272,-10.91419,0.1283688,-0.6543353,-2.390196,-14.167,-8.239858,-10.66789,-9.081689,-2.340778,boundary
-3.856906,-4.324115,-3.760107,-5.458434,-5.713642,-8.88068,-0.7534068,0.5367307,-0.5306112,-5.067151,-11.22247,-12.1701,-9.882751,-6.38592,boundary
-2.026887,-2.188752,-2.218314,-1.726676,-4.002175,-6.561973,0.2866766,1.327014,-2.830961,-5.109046,-7.849429,-8.60441,-5.703491,-4.231167,boundary
-2.520367,-2.501775,-2.175929,-1.962657,-4.399772,-6.078214,0.738499,-0.2126986,-1.645398,-4.165461,-7.372611,-7.195611,-5.27391,-3.321088,boundary
-4.194504,-0.154141,-2.813136,-2.794481,-5.634425,-4.013007,-0.4301709,1.870771,-2.335658,2.67111,-8.475613,-8.697637,-4.99819,-4.706159,boundary
-3.311695,2.796251,-0.1788307,0.6645023,-2.309601,-0.2379816,-0.1036469,2.753402,-1.668626,1.962402,-6.930966,-4.835658,-0.6885768,-3.486009,boundary
-2.474405,0.9506359,-1.569302,-0.6037473,-3.321934,-0.2198184,-0.3510309,1.298166,-1.201038,4.596411,-6.092769,-2.21581,-0.7076963,-2.925637,boundary
-2.494273,4.004345,-0.4268671,2.516757,-3.204175,2.316944,1.133332,2.334622,-1.828549,6.323658,-1.969981,-0.02079049,2.728846,-0.5328871,boundary
-3.480026,4.586479,0.1843988,2.786361,-2.281912,4.770968,-1.120255,2.028429,-1.301337,5.178975,-3.488868,0.4627591,3.531616,-0.02193301,boundary
-1.078985,3.172107,0.4843014,1.262181,-1.466637,4.539285,0.5018053,2.614454,0.04814371,6.478376,-2.278279,4.461322,3.089559,-0.5899354,boundary
-1.931055,-6.210831,-2.10865,-2.218978,-5.977272,-10.91419,0.1283688,-0.6543353,-2.390196,-14.167,-8.239858,-10.66789,-9.081689,-2.340778,boundary
-3.856906,-4.324115,-3.760107,-5.458434,-5.713642,-8.88068,-0.7534068,0.5367307,-0.5306112,-5.067151,-11.22247,-12.1701,-9.882751,-6.38592,boundary
-2.026887,-2.188752,-2.218314,-1.726676,-4.002175,-6.561973,0.2866766,1.327014,-2.830961,-5.109046,-7.849429,-8.60441,-5.703491,-4.231167,boundary
-2.520367,-2.501775,-2.175929,-1.962657,-4.399772,-6.078214,0.738499,-0.2126986,-1.645398,-4.165461,-7.372611,-7.195611,-5.27391,-3.321088,boundary
-4.194504,-0.154141,-2.813136,-2.794481,-5.634425,-4.013007,-0.4301709,1.870771,-2.335658,2.67111,-8.475613,-8.697637,-4.99819,-4.706159,boundary
-3.311695,2.796251,-0.1788307,0.6645023,-2.309601,-0.2379816,-0.1036469,2.753402,-1.668626,1.962402,-6.930966,-4.835658,-0.6885768,-3.486009,boundary
-2.474405,0.9506359,-1.569302,-0.6037473,-3.321934,-0.2198184,-0.3510309,1.298166,-1.201038,4.596411,-6.092769,-2.21581,-0.7076963,-2.925637,boundary
-2.494273,4.004345,-0.4268671,2.516757,-3.204175,2.316944,1.133332,2.334622,-1.828549,6.323658,-1.969981,-0.02079049,2.728846,-0.5328871,boundary
-3.480026,4.586479,0.1843988,2.786361,-2.281912,4.770968,-1.120255,2.028429,-1.301337,5.178975,-3.488868,0.4627591,3.531616,-0.02193301,boundary
-1.078985,3.172107,0.4843014,1.262181,-1.466637,4.539285,0.5018053,2.614454,0.04814371,6.478376,-2.278279,4.461322,3.089559,-0.5899354,boundary
-0.7014124,4.760972,0.9733899,5.131374,-0.5705068,5.42541,0.6888611,1.563037,0.6786655,5.127635,2.031053,6.006572,6.860459,2.345071,boundary
0.3616826,3.578523,0.5599104,2.838304,2.673457,4.94398,0.227369,2.319703,0.182674,7.259995,4.798835,5.404701,4.885361,3.47448,boundary
6.250009,2.645927,1.459268,3.637173,8.250736,4.295433,1.910866,2.506556,4.86745,3.437158,8.692521,9.006509,5.666233,4.69973,boundary
4.98905,4.196467,2.331773,3.868072,5.408457,6.714004,2.043618,2.470844,5.819252,7.19694,7.732584,8.738871,5.376632,4.386179,boundary
2.721979,3.676034,-0.2123888,2.979582,4.976458,6.439171,1.244439,1.694895,3.653416,6.224567,7.370204,7.17417,5.270503,3.185084,boundary
