segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
-1.212891,2.403443,1.292826,1.421851,2.304535,-2.72714,5.644432,-0.2774044,1.674492,0.954592,3.160344,2.862385,4.844039,4.622328,0.726409,3.039924,4.816744,boundary
-10.82772,-7.393228,-9.259844,-7.786232,-6.971132,-10.79351,-4.502188,-9.517272,-9.245395,-9.839295,-3.562726,-3.406555,-4.737285,-3.143005,-7.108952,-4.728959,-4.526519,boundary
3.793808,4.337636,2.569709,4.00519,3.86008,5.940956,5.511841,0.573058,3.538211,4.502955,4.604543,2.092916,5.705092,4.891709,5.152218,4.176371,6.76164,boundary
1.436363,4.048436,1.860746,3.916133,4.866147,1.569928,6.591341,-0.004459039,3.966882,2.312897,6.274525,8.217084,6.824426,8.244821,4.911066,6.702851,7.287374,boundary
-7.826794,-9.451721,-9.997802,-8.565867,-8.981606,-8.291181,-10.14237,-10.09947,-9.682819,-4.45722,-6.469491,-3.788648,-7.64785,-6.376577,-7.931221,-8.493876,-6.501867,boundary
11.38188,10.53231,8.370146,10.74394,10.83194,12.81289,11.58452,6.837425,9.2986,12.76849,9.058569,11.03189,13.22954,10.95475,12.32661,12.24199,13.48582,boundary
1.63151,0.3601381,-1.125581,3.507699,3.200467,3.521571,1.836229,-2.921915,0.2295791,1.051207,1.199324,9.545549,7.130461,8.13429,5.500915,5.941123,5.971345,boundary
1.961757,-2.203634,-1.993717,0.595277,0.09406656,3.530577,-3.020544,-3.161024,-2.319359,4.268086,0.1576563,4.35963,1.128375,0.9890632,2.851313,-0.08547686,2.88382,boundary
5.143412,1.608897,-0.1670687,2.354122,2.802163,5.410506,2.213802,-0.3091123,0.4602011,9.728069,0.6412795,4.304419,5.120507,1.546281,3.576229,4.570226,4.622199,boundary
6.518556,2.262275,2.005906,6.130696,4.333358,7.025897,1.090879,1.320581,2.492155,6.017627,2.87162,10.07137,8.231908,7.956318,6.712022,4.563456,7.208433,boundary
-1.212891,2.403443,1.292826,1.421851,2.304535,-2.72714,5.644432,-0.2774044,1.674492,0.954592,3.160344,2.862385,4.844039,4.622328,0.726409,3.039924,4.816744,boundary
-10.82772,-7.393228,-9.259844,-7.786232,-6.971132,-10.79351,-4.502188,-9.517272,-9.245395,-9.839295,-3.562726,-3.406555,-4.737285,-3.143005,-7.108952,-4.728959,-4.526519,boundary
3.793808,4.337636,2.569709,4.00519,3.86008,5.940956,5.511841,0.573058,3.538211,4.502955,4.604543,2.092916,5.705092,4.891709,5.152218,4.176371,6.76164,boundary
1.436363,4.048436,1.860746,3.916133,4.866147,1.569928,6.591341,-0.004459039,3.966882,2.312897,6.274525,8.217084,6.824426,8.244821,4.911066,6.702851,7.287374,boundary
-7.826794,-9.451721,-9.997802,-8.565867,-8.981606,-8.291181,-10.14237,-10.09947,-9.682819,-4.45722,-6.469491,-3.788648,-7.64785,-6.376577,-7.931221,-8.493876,-6.501867,boundary
11.38188,10.53231,8.370146,10.74394,10.83194,12.81289,11.58452,6.837425,9.2986,12.76849,9.058569,11.03189,13.22954,10.95475,12.32661,12.24199,13.48582,boundary
1.63151,0.3601381,-1.125581,3.507699,3.200467,3.521571,1.836229,-2.921915,0.2295791,1.051207,1.199324,9.545549,7.130461,8.13429,5.500915,5.941123,5.971345,boundary
1.961757,-2.203634,-1.993717,0.595277,0.09406656,3.530577,-3.020544,-3.161024,-2.319359,4.268086,0.1576563,4.35963,1.128375,0.9890632,2.851313,-0.08547686,2.88382,boundary
5.143412,1.608897,-0.1670687,2.354122,2.802163,5.410506,2.213802,-0.3091123,0.4602011,9.728069,0.6412795,4.304419,5.120507,1.546281,3.576229,4.570226,4.622199,boundary
6.518556,2.262275,2.005906,6.130696,4.333358,7.025897,1.090879,1.320581,2.492155,6.017627,2.87162,10.07137,8.231908,7.956318,6.712022,4.563456,7.208433,boundary
