segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,labels
11.44496,-1.777412,-8.202129,-5.404125,-2.94911,-0.6296538,-2.388116,11.44541,14.28023,-9.228535,15.33948,-8.400263,-3.908724,20.67287,-4.737836,boundary
4.717585,-3.311914,-12.93514,-11.76645,-5.769878,-5.032521,-4.521092,6.221058,11.85206,-14.12821,18.45802,-7.369838,-6.762148,20.09656,-5.828663,boundary
15.01017,-1.472131,-9.988057,-2.867141,-2.943304,-0.09131555,-1.282493,11.38135,16.77284,-7.530304,17.18274,-5.722459,-2.850976,27.72628,-0.8273075,boundary
18.46955,2.752362,-5.923752,-0.8856498,0.4787185,0.4009237,2.256534,13.26496,21.27343,-5.266967,15.86472,-9.599894,-3.617547,29.26493,-0.8273987,boundary
15.87396,7.198134,-5.1714,-2.814915,4.083053,-0.06527805,6.366519,13.12513,21.64151,-6.079294,21.03125,-4.829617,-2.85952,34.7522,2.547085,boundary
19.0004,6.435145,-6.737549,-0.08112156,0.7517785,0.4741836,4.417315,14.57671,22.40505,-3.143074,21.78088,-5.252969,-1.439648,35.76115,0.01751343,boundary
20.80695,6.238094,-7.906186,-0.1471158,0.5209566,0.3493714,6.018113,13.55576,25.82784,-6.516207,23.97884,-8.816184,-2.181572,37.01096,-0.628655,boundary
25.75872,17.73859,-1.575551,4.877053,10.11579,4.50717,15.42283,19.55055,30.92833,1.670537,25.66342,-6.219234,1.04767,48.24536,5.453702,boundary
24.55007,14.07737,-3.685695,1.672452,6.178969,3.41893,11.23499,18.93428,29.31791,-2.917583,27.45144,-6.835734,1.073967,43.89125,-0.8610134,boundary
22.91979,11.57899,-7.551559,-0.01102984,1.570221,3.132482,10.73383,16.34159,28.04737,-4.39652,32.17482,-7.563177,1.696448,45.13688,-2.734894,boundary
11.44496,-1.777412,-8.202129,-5.404125,-2.94911,-0.6296538,-2.388116,11.44541,14.28023,-9.228535,15.33948,-8.400263,-3.908724,20.67287,-4.737836,boundary
4.717585,-3.311914,-12.93514,-11.76645,-5.769878,-5.032521,-4.521092,6.221058,11.85206,-14.12821,18.45802,-7.369838,-6.762148,20.09656,-5.828663,boundary
15.01017,-1.472131,-9.988057,-2.867141,-2.943304,-0.09131555,-1.282493,11.38135,16.77284,-7.530304,17.18274,-5.722459,-2.850976,27.72628,-0.8273075,boundary
18.46955,2.752362,-5.923752,-0.8856498,0.4787185,0.4009237,2.256534,13.26496,21.27343,-5.266967,15.86472,-9.599894,-3.617547,29.26493,-0.8273987,boundary
15.87396,7.198134,-5.1714,-2.814915,4.083053,-0.06527805,6.366519,13.12513,21.64151,-6.079294,21.03125,-4.829617,-2.85952,34.7522,2.547085,boundary
19.0004,6.435145,-6.737549,-0.08112156,0.7517785,0.4741836,4.417315,14.57671,22.40505,-3.143074,21.78088,-5.252969,-1.439648,35.76115,0.01751343,boundary
20.80695,6.238094,-7.906186,-0.1471158,0.5209566,0.3493714,6.018113,13.55576,25.82784,-6.516207,23.97884,-8.816184,-2.181572,37.01096,-0.628655,boundary
25.75872,17.73859,-1.575551,4.877053,10.11579,4.50717,15.42283,19.55055,30.92833,1.670537,25.66342,-6.219234,1.04767,48.24536,5.453702,boundary
24.55007,14.07737,-3.685695,1.672452,6.178969,3.41893,11.23499,18.93428,29.31791,-2.917583,27.45144,-6.835734,1.073967,43.89125,-0.8610134,boundary
22.91979,11.57899,-7.551559,-0.01102984,1.570221,3.132482,10.73383,16.34159,28.04737,-4.39652,32.17482,-7.563177,1.696448,45.13688,-2.734894,boundary
26.0149,16.62452,-5.709767,3.434972,5.62157,5.737953,13.71953,19.42743,31.93843,-5.55982,33.63468,-8.680398,3.783276,48.90526,-0.1537824,boundary
-7.896476,-1.559863,-2.865872,-6.490151,-4.517111,-14.10797,-10.70357,-4.780152,-1.649864,-2.76297,-18.50502,-15.38424,-14.93767,-9.370365,-8.630073,boundary
-11.79152,-8.768682,-9.363815,-15.13119,-7.505657,-14.69863,-14.56325,-7.72295,-7.517846,-15.26202,-22.02948,-19.94183,-20.35681,-18.15334,-14.22259,boundary
-7.881921,-5.180683,-5.329344,-11.52825,-1.806355,-9.05903,-11.12776,-6.41888,-4.676496,-9.817371,-13.87777,-14.73139,-12.40362,-10.11261,-6.149874,boundary
-8.88855,-0.7678501,-3.136714,-7.772869,-1.360031,-9.522846,-5.249902,-4.548783,-0.3490863,-4.69128,-16.56458,-13.97294,-13.52693,-5.836956,-5.557903,boundary
-10.16315,-5.505012,-10.46864,-15.46963,-7.9797,-12.01516,-9.176262,-7.553977,-2.982727,-9.809764,-21.05051,-19.13995,-19.58195,-12.23153,-14.36342,boundary
-8.848822,-6.202236,-6.623712,-13.68219,-6.943498,-7.944354,-9.371676,-6.008756,-3.035318,-7.554735,-11.90121,-12.54418,-13.45059,-9.652674,-8.954577,boundary
-9.903013,-7.782693,-9.510351,-14.79584,-8.081203,-6.491427,-4.444535,-5.172983,-6.160036,-9.634789,-6.908738,-6.719165,-12.2739,-1.135917,-7.762594,boundary
-10.38482,-6.826256,-13.87608,-17.12408,-12.02147,-7.613597,-3.010047,-9.016737,-5.494785,-4.127771,-9.011027,-9.298404,-14.54951,-1.954617,-12.87355,boundary
-8.400179,-8.066788,-10.64451,-14.33199,-14.37584,-3.942534,-2.379584,-6.241171,-4.31663,-2.13663,-1.230805,-2.728393,-10.53752,-1.2134,-11.94838,boundary
-8.805886,-9.851496,-10.81069,-15.95915,-12.99123,-5.247641,-2.857023,-4.325476,-7.774363,-6.50291,4.73153,1.597455,-8.616546,2.521734,-9.38391,boundary
10.46678,-6.507148,14.62105,14.20092,4.943506,9.213261,-0.8319253,9.324723,1.316929,-4.808636,5.170554,3.243462,12.51025,-39.55412,13.19658,boundary
9.437684,-1.85131,14.97932,13.23727,5.579541,10.62674,1.413882,10.85755,6.177044,1.981999,2.986722,2.0422,10.05356,-36.8273,10.55423,boundary
7.647964,-3.764414,8.638535,7.928369,2.458299,5.706143,0.6941667,7.882607,2.269651,-1.718907,2.869413,1.712458,6.364554,-44.32155,6.768012,boundary
8.861263,-13.55382,2.618259,8.400772,-5.098068,6.777946,-9.059051,4.223324,-6.869144,-13.41377,1.449789,-2.187482,6.814817,-49.23932,2.761666,boundary
9.614865,-7.574495,3.257955,8.621942,-2.336793,7.99939,-3.666539,6.644568,-2.664907,-5.981591,3.373677,0.3790686,7.224826,-42.56237,2.284162,boundary
5.027901,-4.022602,1.186941,2.175929,-0.5480799,1.226624,-4.427756,4.552032,-1.334216,-4.686862,-0.8411819,-4.923046,2.201687,-48.59168,-0.8502071,boundary
3.068707,-7.999637,-1.782623,1.500308,-3.878324,-0.05713942,-8.530969,0.9336961,-3.537491,-9.021741,0.9582714,-2.57283,-0.9044279,-50.8787,-1.806113,boundary
4.89989,-7.745902,-3.248396,3.324513,-2.880338,0.6446799,-5.167212,1.258501,-5.041301,-9.471168,0.8356118,-0.2136122,3.018672,-46.01112,-0.2237655,boundary
