segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
11.87016,11.34731,11.30307,14.55943,13.42543,3.427203,6.909503,12.03829,14.4794,3.928506,8.981134,21.27319,10.14433,9.933038,11.25463,15.0164,boundary
3.864032,4.313036,5.505636,6.639918,4.868635,-4.05721,-0.6245911,5.982842,6.359877,2.6224,2.614135,3.777211,-0.09533899,2.97695,0.9338497,5.729305,boundary
3.979905,8.117664,9.943561,9.367151,11.7443,-1.523693,4.412581,5.516723,9.293291,2.382025,7.448467,7.665626,5.544591,3.685534,8.096527,10.748,boundary
6.457222,7.941883,12.35716,8.082722,12.18072,0.132158,6.565642,9.825575,12.79135,-0.7869582,9.081827,17.43665,9.921344,4.078803,11.01167,11.62488,boundary
7.003998,4.213894,11.64649,7.489008,8.853557,1.070982,7.440049,9.051605,9.155805,3.862833,8.681594,8.231029,4.341867,4.608731,9.332624,7.58427,boundary
1.807822,0.2728074,7.112468,5.338541,6.286424,-2.080789,3.45829,0.2291108,5.3425,-3.106205,7.174748,10.78885,5.277863,1.146153,8.242866,5.944122,boundary
2.986852,2.791336,8.318446,4.334085,5.874735,-0.3532555,4.28883,4.871327,8.462494,-0.06153763,11.62869,5.096394,6.883755,1.535532,7.008293,6.147687,boundary
6.409436,-0.09120315,9.54147,6.364403,5.16714,2.472174,5.976137,7.52195,7.432237,-2.249386,7.223361,7.726087,2.772017,2.334981,8.878876,6.074431,boundary
1.36693,-3.401302,6.819404,2.954356,3.0468,-3.196506,1.718294,-0.6826491,4.848386,-3.294285,5.019396,11.79135,3.051851,-0.7521943,6.176755,3.489429,boundary
1.609215,1.892677,5.340661,2.604534,3.189346,-2.601271,4.997652,0.6780764,7.632013,3.551975,8.510842,4.775082,4.03382,-0.7542273,6.349662,3.035176,boundary
11.87016,11.34731,11.30307,14.55943,13.42543,3.427203,6.909503,12.03829,14.4794,3.928506,8.981134,21.27319,10.14433,9.933038,11.25463,15.0164,boundary
3.864032,4.313036,5.505636,6.639918,4.868635,-4.05721,-0.6245911,5.982842,6.359877,2.6224,2.614135,3.777211,-0.09533899,2.97695,0.9338497,5.729305,boundary
3.979905,8.117664,9.943561,9.367151,11.7443,-1.523693,4.412581,5.516723,9.293291,2.382025,7.448467,7.665626,5.544591,3.685534,8.096527,10.748,boundary
6.457222,7.941883,12.35716,8.082722,12.18072,0.132158,6.565642,9.825575,12.79135,-0.7869582,9.081827,17.43665,9.921344,4.078803,11.01167,11.62488,boundary
7.003998,4.213894,11.64649,7.489008,8.853557,1.070982,7.440049,9.051605,9.155805,3.862833,8.681594,8.231029,4.341867,4.608731,9.332624,7.58427,boundary
1.807822,0.2728074,7.112468,5.338541,6.286424,-2.080789,3.45829,0.2291108,5.3425,-3.106205,7.174748,10.78885,5.277863,1.146153,8.242866,5.944122,boundary
2.986852,2.791336,8.318446,4.334085,5.874735,-0.3532555,4.28883,4.871327,8.462494,-0.06153763,11.62869,5.096394,6.883755,1.535532,7.008293,6.147687,boundary
6.409436,-0.09120315,9.54147,6.364403,5.16714,2.472174,5.976137,7.52195,7.432237,-2.249386,7.223361,7.726087,2.772017,2.334981,8.878876,6.074431,boundary
1.36693,-3.401302,6.819404,2.954356,3.0468,-3.196506,1.718294,-0.6826491,4.848386,-3.294285,5.019396,11.79135,3.051851,-0.7521943,6.176755,3.489429,boundary
1.609215,1.892677,5.340661,2.604534,3.189346,-2.601271,4.997652,0.6780764,7.632013,3.551975,8.510842,4.775082,4.03382,-0.7542273,6.349662,3.035176,boundary
0.2053728,-3.904643,1.99977,2.077747,-2.614627,-3.960946,-2.146926,0.7494003,3.627358,-6.710394,-1.487872,0.0780075,-5.425675,-4.859545,0.7357604,0.4219355,boundary
-12.34498,0.3391537,-9.906589,-11.97527,-11.5142,-8.695125,-2.334696,-10.72301,-6.301738,-2.019812,0.3653674,-9.193985,-0.492306,-6.502736,-11.10516,-12.41827,boundary
-2.716177,1.305171,-2.45872,-0.2905897,-7.833481,2.321175,1.963194,-2.291519,-4.584417,0.7801511,12.457,8.181485,10.57961,7.424717,-4.665117,-4.505434,boundary
-4.174873,3.202884,-4.265007,-2.923238,-8.141479,1.301386,4.746292,-4.840623,-4.961814,4.829237,7.670539,5.146633,9.200751,3.898876,-5.478687,-3.754472,boundary
