segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,labels
0.2841759,0.2671705,-0.1510333,-1.124453,1.749384,2.187694,2.06736,3.561078,3.914474,1.544495,1.111231,-0.1024732,S  7
0.6839424,-0.2241608,-0.6225616,-1.460554,0.7553036,3.291305,-0.4544383,0.8189317,4.879356,-0.6828314,1.375255,-1.300609,S  7
4.264458,1.100507,0.1343476,1.581987,0.804562,5.195214,6.075171,6.813377,10.84936,3.064942,4.802866,3.231736,S  7
1.930447,0.02403096,-1.464365,-1.257661,0.7914343,0.5423175,-0.2270609,0.2496785,4.34145,1.022413,1.013004,-0.471441,S  7
1.634489,-1.008975,-2.63422,0.1989802,-5.65093,4.933262,1.474875,3.29805,7.510219,-1.711215,2.973095,-0.1079069,S  7
2.198786,2.895154,1.519387,1.547661,3.49374,5.007442,4.605866,5.672715,11.11676,3.884832,5.476,3.287294,S  7
3.91518,2.819311,2.1294,4.249729,4.117473,6.957336,9.045882,8.785072,13.44958,6.252589,7.596882,6.058554,S  7
8.494889,-0.2036636,-2.184671,3.451993,-9.7847,5.545209,3.730764,6.031766,7.78232,-0.6235807,5.867892,2.47897,S  7
3.308521,2.08573,1.591125,2.590254,4.527923,4.028863,3.384057,3.9065,8.784954,3.80331,5.222819,3.834311,S  7
-5.407764,4.359482,7.725824,5.257407,8.478685,9.30108,15.99582,16.47964,18.0361,11.40053,10.02878,10.05486,S  7
13.60754,3.052887,2.797643,6.38647,-0.127211,5.887815,7.160263,8.182994,8.294378,4.674132,7.320555,5.981857,S  7
9.333055,-0.1711637,-0.2911001,4.361983,-0.3970917,3.152739,4.220718,4.965595,6.943934,1.537176,4.43923,4.142306,S  7
-11.01698,1.091958,6.219075,1.05654,5.333387,2.902629,9.139676,10.18515,10.72334,7.389835,3.979337,5.897233,S  7
8.194448,3.494737,5.320158,4.437966,11.18264,3.048576,6.518306,5.83278,5.827454,7.095695,3.117309,5.511291,S  7
5.498724,0.06622642,3.007478,4.576639,1.136478,3.454021,7.586232,9.442978,9.975426,4.038568,5.008166,5.816837,S  7
0.7150852,-4.389221,-5.078209,-1.775483,-6.669953,-3.845592,-3.650837,-3.289037,-1.129298,-5.672771,-3.991856,-2.981951,S  7
0.5558626,-0.1453654,3.086539,0.1726885,9.788545,-2.147281,-1.129624,-0.6027938,0.6605968,3.18034,-2.236646,1.664254,S  7
-5.977106,-0.1795561,3.688577,0.2227287,2.784348,1.946115,4.854101,6.946618,8.200061,3.504582,2.159532,3.552057,S  7
0.4419977,1.105185,9.828289,2.742859,8.030536,-1.40408,5.928923,3.24766,4.74416,6.363253,5.31672,6.745944,boundary
1.229914,-0.4197728,5.358856,-0.4322893,1.412657,-2.009625,-1.874051,-4.015966,-4.291232,-1.290465,-0.2389021,0.3124011,boundary
-0.06620549,-2.434108,2.01706,-0.4869825,-5.70398,-0.299887,0.2148461,1.225898,-0.117113,-3.818857,1.346024,-0.8340673,boundary
5.609043,-1.166856,1.41811,-0.1778885,3.487439,0.2852097,-1.735524,-3.25851,-2.071496,-1.865806,0.2866958,-1.975955,boundary
1.782129,-2.578043,-2.732595,-2.513533,-3.336311,0.3408442,-6.935856,-6.316754,-6.08858,-8.468108,-4.482931,-5.54762,boundary
-2.131779,-4.488092,-3.361405,-4.621534,-3.949893,-0.2644616,-4.31654,-3.732734,-4.047801,-7.952955,-5.285512,-6.987422,boundary
4.332373,0.7707531,1.104471,0.2141346,6.66662,5.856633,2.056343,2.919562,2.719593,1.374597,2.326539,0.1912556,boundary
1.786781,-4.017648,-7.637757,-2.548387,-7.245583,1.572737,-5.333837,-4.043276,-3.287386,-8.555076,-4.231816,-4.825974,boundary
-0.726683,-1.957687,-1.714777,-1.072129,2.837106,2.261214,1.057336,0.5971701,2.19616,-1.483599,-1.110262,-0.9746483,boundary
0.1695012,1.279262,2.407361,2.340714,6.194993,7.716465,10.00789,11.10549,10.72082,7.180364,7.134808,7.866548,boundary
-7.791563,-6.45592,-5.740108,-5.98627,-10.82607,-3.559872,-7.441136,-6.63933,-8.389128,-9.07169,-6.353352,-9.055786,boundary
-6.568037,-5.408433,-5.42784,-6.972009,-0.7456906,-7.430857,-9.142481,-7.063969,-9.941593,-6.065229,-8.109312,-8.841964,boundary
-6.976339,-5.778433,-3.200499,-7.257869,0.1808343,-6.803554,-7.918061,-6.526555,-9.067194,-4.418839,-7.660313,-7.694785,boundary
-3.278045,-4.914598,-4.653624,-4.940001,-8.577541,-3.243163,-4.359334,-3.680455,-5.680393,-6.870039,-4.869372,-6.144398,boundary
-3.645544,-5.744837,-4.176367,-5.775297,0.6962255,-6.01395,-8.890244,-6.482872,-9.59855,-4.006628,-6.622952,-7.884682,boundary
-4.841992,-5.632763,-1.661432,-6.073341,6.968735,-5.148514,-4.773293,-3.759452,-5.532524,-1.401029,-5.325525,-5.360348,boundary
-1.047362,-3.163129,-2.914792,-4.185014,0.03495577,-3.235471,-1.458367,-0.4673626,-2.823324,-2.241401,-2.664105,-3.305013,boundary
-1.156834,-6.301914,-4.459415,-5.12939,-1.264267,-2.521151,-5.111048,-4.11021,-6.31447,-3.015029,-3.835723,-5.435575,boundary
-0.6540037,-3.312092,-0.1900903,-1.155687,9.172571,-0.4880274,0.7830128,0.1668726,-0.1525068,1.756204,0.4069468,-0.1112609,boundary
