segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
3.042004,6.575815,10.14481,4.907587,5.643434,1.135181,4.62992,8.500993,8.878636,-1.236902,3.435579,-4.027377,-1.191189,-2.006912,1.281269,3.097839,3.761171,boundary
0.01755062,4.058341,5.070011,2.350606,2.767864,-1.516505,2.409377,4.475698,4.282874,-3.604955,0.7287912,-2.434575,-2.538214,-2.715238,-0.5285606,1.416262,1.002507,boundary
-1.435893,0.4791859,2.699922,-2.077048,-1.564272,-4.713411,-1.244446,2.626039,3.095891,-2.021469,-2.256345,-8.249417,-4.402301,-6.77908,-4.547454,-3.619236,-3.255352,boundary
-4.135995,-0.3080239,2.389598,-2.69137,-1.920985,-5.513844,-2.434657,-0.2869311,2.131114,-6.871156,-1.226229,-7.693049,-6.371852,-7.205603,-4.621405,-3.110593,-3.646244,boundary
0.6213225,4.794998,4.613015,1.913239,3.44132,-0.8994545,3.981534,3.948847,4.920805,-2.160671,2.099648,-1.101134,0.9219387,-2.032587,0.33357,3.001769,0.2340769,boundary
-5.813744,-6.123127,-4.039002,-7.667611,-8.705051,-9.455537,-8.189066,-2.096361,-3.203689,-5.031102,-8.118616,-12.42474,-10.32671,-11.16495,-9.704235,-10.0534,-10.03961,boundary
-7.644294,-5.023072,-3.176291,-7.08629,-7.142154,-10.21104,-6.321889,-5.546234,-3.218901,-7.472461,-5.252792,-9.958388,-7.683809,-10.25068,-8.537132,-7.160604,-8.207357,boundary
-2.876182,0.2752491,0.2178243,-3.895751,-1.876214,-4.862738,-1.260222,0.1608052,2.79646,-4.390841,0.7222162,-8.079162,-4.522924,-7.966264,-5.123265,-2.969063,-5.69348,boundary
-4.337438,-4.211822,-2.932067,-5.647911,-6.474295,-7.998138,-6.153212,-1.777681,-2.007069,-3.396516,-5.535954,-9.147477,-6.519403,-6.966136,-7.263667,-6.473186,-7.409501,boundary
-10.15211,-9.555988,-8.107239,-10.55921,-11.30837,-13.01688,-9.540577,-8.949254,-8.883535,-8.244232,-10.62963,-14.75546,-10.45343,-13.62647,-12.68854,-11.87619,-12.01372,boundary
3.042004,6.575815,10.14481,4.907587,5.643434,1.135181,4.62992,8.500993,8.878636,-1.236902,3.435579,-4.027377,-1.191189,-2.006912,1.281269,3.097839,3.761171,boundary
0.01755062,4.058341,5.070011,2.350606,2.767864,-1.516505,2.409377,4.475698,4.282874,-3.604955,0.7287912,-2.434575,-2.538214,-2.715238,-0.5285606,1.416262,1.002507,boundary
-1.435893,0.4791859,2.699922,-2.077048,-1.564272,-4.713411,-1.244446,2.626039,3.095891,-2.021469,-2.256345,-8.249417,-4.402301,-6.77908,-4.547454,-3.619236,-3.255352,boundary
-4.135995,-0.3080239,2.389598,-2.69137,-1.920985,-5.513844,-2.434657,-0.2869311,2.131114,-6.871156,-1.226229,-7.693049,-6.371852,-7.205603,-4.621405,-3.110593,-3.646244,boundary
0.6213225,4.794998,4.613015,1.913239,3.44132,-0.8994545,3.981534,3.948847,4.920805,-2.160671,2.099648,-1.101134,0.9219387,-2.032587,0.33357,3.001769,0.2340769,boundary
-5.813744,-6.123127,-4.039002,-7.667611,-8.705051,-9.455537,-8.189066,-2.096361,-3.203689,-5.031102,-8.118616,-12.42474,-10.32671,-11.16495,-9.704235,-10.0534,-10.03961,boundary
-7.644294,-5.023072,-3.176291,-7.08629,-7.142154,-10.21104,-6.321889,-5.546234,-3.218901,-7.472461,-5.252792,-9.958388,-7.683809,-10.25068,-8.537132,-7.160604,-8.207357,boundary
-2.876182,0.2752491,0.2178243,-3.895751,-1.876214,-4.862738,-1.260222,0.1608052,2.79646,-4.390841,0.7222162,-8.079162,-4.522924,-7.966264,-5.123265,-2.969063,-5.69348,boundary
-4.337438,-4.211822,-2.932067,-5.647911,-6.474295,-7.998138,-6.153212,-1.777681,-2.007069,-3.396516,-5.535954,-9.147477,-6.519403,-6.966136,-7.263667,-6.473186,-7.409501,boundary
-10.15211,-9.555988,-8.107239,-10.55921,-11.30837,-13.01688,-9.540577,-8.949254,-8.883535,-8.244232,-10.62963,-14.75546,-10.45343,-13.62647,-12.68854,-11.87619,-12.01372,boundary
-4.254175,-3.055358,-3.185593,-6.383398,-5.72597,-6.799214,-5.948096,-2.262362,-0.3462128,-3.048566,0.2753627,-11.63782,-9.177814,-10.33164,-8.345308,-7.676908,-8.218719,boundary
-4.367214,-8.625046,-9.024449,-8.578556,-11.24833,-4.629425,-7.208022,-8.065995,-10.64377,-2.120169,-3.834602,-9.813175,-9.520917,-11.77962,-9.016361,-11.16002,-11.31237,boundary
-1.710094,-3.221755,-3.707621,-4.274645,-5.703267,-1.671423,-2.192056,-2.146436,-3.53986,-1.303235,0.9212263,-4.577796,-5.409154,-5.396727,-4.103537,-5.439847,-6.195683,boundary
-3.151011,-5.816906,-6.822373,-4.939203,-7.986444,-2.776715,-4.401278,-5.759301,-7.353996,-2.688042,-0.3043219,-6.185633,-5.960097,-8.332478,-5.221499,-6.685314,-7.566194,boundary
0.5924784,-3.427248,-3.879823,-3.016992,-5.416525,1.764829,-2.554904,-2.294116,-4.404787,2.716154,2.184215,-4.438648,-1.845378,-5.699711,-2.967109,-4.000782,-5.490052,boundary
-3.556125,-6.098674,-6.040742,-5.962897,-7.655133,-2.839205,-2.509242,-5.468184,-6.874678,-2.249521,-5.480013,-4.930832,-1.472664,-5.421621,-5.927741,-6.098593,-7.235393,boundary
-8.735056,-16.00842,-13.65743,-13.85813,-16.84037,-8.568446,-16.51876,-11.4938,-14.79673,-5.046615,-8.043608,-14.3035,-21.13592,-17.80246,-13.02695,-18.38134,-16.62091,boundary
11.40136,4.734512,7.411768,7.445075,4.502195,10.88516,2.392372,10.51733,6.303993,10.99273,7.08755,3.254677,2.599671,0.6819041,7.491902,3.749265,5.309696,boundary
-1.735759,-9.18395,-6.012812,-5.304897,-8.664217,-1.22033,-6.585999,-4.406139,-8.350734,0.6824531,-10.93319,-4.794537,-3.928248,-7.736816,-5.396476,-7.96853,-7.359921,boundary
-5.830818,-15.95229,-10.57119,-11.15935,-15.04757,-5.836247,-18.5807,-7.493393,-12.82473,-2.23379,-12.50041,-12.73524,-20.08081,-16.41257,-10.45994,-18.151,-13.88556,boundary
