segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-3.166204,-9.771481,-7.499827,-3.728323,-23.38011,-1.164577,-20.23044,3.937734,-5.762028,4.234746,7.94156,-22.38584,-25.87663,-12.09358,-15.14917,-9.922227,boundary
-4.295287,-4.915782,-7.778299,-4.31453,-22.0735,-2.498461,-21.54109,2.229261,-4.247591,1.236085,1.75797,-22.70427,-27.36573,-12.05111,-16.43881,-9.777524,boundary
-4.444141,1.563062,-7.205386,-1.633421,-18.33099,-3.183022,-8.601701,2.200547,-2.401779,1.103044,4.248178,-18.59437,-24.10397,-11.79892,-11.52889,-8.733234,boundary
-2.781207,-4.583576,-5.645755,-4.052428,-16.78004,1.621945,-13.08319,4.259109,-3.743964,5.602164,3.873357,-18.59763,-21.65107,-7.857717,-9.334062,-5.781622,boundary
-4.842755,5.412669,-7.471277,-5.827352,-14.09561,0.7041399,-8.739864,1.358829,-1.540298,2.304948,6.734784,-15.44357,-21.89348,-8.333651,-8.217245,-6.774819,boundary
-1.508556,2.802407,-5.674941,0.9563784,-11.87309,0.2978832,-8.120979,2.153229,-1.414417,4.072677,2.378252,-12.91937,-18.73441,-6.386971,-8.090905,-6.329021,boundary
-0.7060416,6.597879,-3.261364,-1.279933,-7.015701,3.117462,0.5048357,4.508607,-0.9103435,5.269009,4.502569,-8.888737,-15.61352,-2.988581,-1.492688,-2.057128,boundary
-1.489494,5.90652,-5.046032,-3.255172,-6.973873,5.343027,2.704708,1.788118,-1.811502,5.678166,4.69761,-5.613615,-14.43458,-3.843613,0.6995494,-3.314659,boundary
0.8598025,7.352387,-4.044865,-0.6626115,-7.461833,3.64523,-3.842044,3.38491,-1.160041,7.467233,6.465294,-7.745781,-13.91737,-3.857377,-4.543314,-5.081794,boundary
2.109265,3.653368,-2.081161,0.7477794,-2.468783,4.116344,1.431359,4.932039,-1.343076,7.035135,0.5465241,-1.892779,-11.49653,-1.738911,-0.2531354,-2.713671,boundary
-3.166204,-9.771481,-7.499827,-3.728323,-23.38011,-1.164577,-20.23044,3.937734,-5.762028,4.234746,7.94156,-22.38584,-25.87663,-12.09358,-15.14917,-9.922227,boundary
-4.295287,-4.915782,-7.778299,-4.31453,-22.0735,-2.498461,-21.54109,2.229261,-4.247591,1.236085,1.75797,-22.70427,-27.36573,-12.05111,-16.43881,-9.777524,boundary
-4.444141,1.563062,-7.205386,-1.633421,-18.33099,-3.183022,-8.601701,2.200547,-2.401779,1.103044,4.248178,-18.59437,-24.10397,-11.79892,-11.52889,-8.733234,boundary
-2.781207,-4.583576,-5.645755,-4.052428,-16.78004,1.621945,-13.08319,4.259109,-3.743964,5.602164,3.873357,-18.59763,-21.65107,-7.857717,-9.334062,-5.781622,boundary
-4.842755,5.412669,-7.471277,-5.827352,-14.09561,0.7041399,-8.739864,1.358829,-1.540298,2.304948,6.734784,-15.44357,-21.89348,-8.333651,-8.217245,-6.774819,boundary
-1.508556,2.802407,-5.674941,0.9563784,-11.87309,0.2978832,-8.120979,2.153229,-1.414417,4.072677,2.378252,-12.91937,-18.73441,-6.386971,-8.090905,-6.329021,boundary
-0.7060416,6.597879,-3.261364,-1.279933,-7.015701,3.117462,0.5048357,4.508607,-0.9103435,5.269009,4.502569,-8.888737,-15.61352,-2.988581,-1.492688,-2.057128,boundary
-1.489494,5.90652,-5.046032,-3.255172,-6.973873,5.343027,2.704708,1.788118,-1.811502,5.678166,4.69761,-5.613615,-14.43458,-3.843613,0.6995494,-3.314659,boundary
0.8598025,7.352387,-4.044865,-0.6626115,-7.461833,3.64523,-3.842044,3.38491,-1.160041,7.467233,6.465294,-7.745781,-13.91737,-3.857377,-4.543314,-5.081794,boundary
2.109265,3.653368,-2.081161,0.7477794,-2.468783,4.116344,1.431359,4.932039,-1.343076,7.035135,0.5465241,-1.892779,-11.49653,-1.738911,-0.2531354,-2.713671,boundary
