segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,labels
9.366259,-4.338707,-12.61784,0.4995193,-9.058515,13.17868,4.040041,-3.225755,0.4709579,3.560905,-9.703899,4.107022,-5.922679,S  1
-0.2802267,-3.641915,-6.101709,-1.347759,-6.154065,6.629019,-0.3273096,-4.370887,-0.8488967,1.054521,-8.342349,-2.884754,-6.080901,S  1
-1.12904,1.562236,0.8630174,-1.403898,-3.585799,-4.161718,0.002625928,-3.159564,0.9446553,-4.602618,-3.540978,-2.271223,-1.71379,S  2
-3.767302,-0.7029143,-0.2063304,-3.659296,-5.735707,-5.204696,-1.651013,-5.656092,-1.725441,-6.890775,-5.367773,-5.570431,-3.1344,S  2
3.371909,2.906213,0.6194653,1.516297,1.442052,3.846145,1.896358,3.079259,6.312453,1.362315,1.081754,2.483904,1.51389,S  2
5.417308,4.129272,1.749915,1.570168,-2.721411,4.980131,2.466046,0.6769248,4.311647,-0.9618188,-0.7170079,3.934643,0.1723699,S  2
2.258008,1.031184,2.204746,0.8925443,0.3284592,4.551907,2.062206,2.115493,3.911017,1.287782,2.264591,1.754742,1.605463,S  2
3.761389,-0.1244535,0.9877676,1.532625,3.442522,9.148657,3.246432,5.52534,6.36123,4.019339,4.161703,3.934327,2.414556,S  2
6.506961,2.446015,0.2237113,2.597272,2.595064,11.50374,2.690551,7.975255,7.422712,5.22132,4.080365,8.183299,3.063157,S  2
6.727397,2.329074,1.32754,3.753288,4.562492,12.47538,4.545066,11.03089,8.65829,8.721941,7.373294,8.391788,4.000579,S  2
1.595384,-1.751427,2.413853,-0.09772409,2.822598,7.073655,1.866338,5.864536,2.828885,4.270459,5.018325,3.006638,1.763421,S  2
2.03577,-0.05125274,-1.952391,0.3444238,2.617136,7.272165,1.828602,6.716366,3.054216,4.190877,3.910996,2.973816,1.936257,S  2
1.994782,-0.03081639,-2.734707,0.06037362,-0.8943697,6.892379,1.665094,6.982502,3.364059,4.144655,2.338746,2.941917,0.3893812,S  2
0.798299,-0.1592447,1.035179,0.1926903,0.4969248,3.2721,1.531846,3.864958,-0.713857,2.208347,2.821373,0.8675236,0.3249066,S  2
-0.8705874,0.4472813,-2.102867,-1.470676,-3.378534,-0.2035606,1.47405,-0.2893177,-4.173891,-1.985519,-0.4723986,-3.768987,-1.355191,S  2
-4.030281,-2.20048,-4.92126,-4.568748,-6.582086,-3.076256,-1.794827,-3.676269,-4.650379,-4.770905,-4.420619,-5.846574,-3.838372,S  2
1.679895,2.073593,-0.2604897,2.14821,-1.01466,2.605601,1.766824,2.088528,0.7430437,0.9331338,0.5241222,0.1362326,0.6118399,S  2
0.793977,1.520933,-0.9259317,-0.06760644,-3.835791,0.1350749,1.674832,-2.153473,-4.300381,-3.195136,-1.6566,-2.601873,-1.65744,S  2
-1.304409,-1.174596,-2.237439,-2.644649,-3.865474,-1.689401,-0.5830851,-4.290044,-1.96708,-4.482397,-3.24153,-3.472234,-2.805847,S  2
3.868925,2.368396,1.19814,3.30853,2.669794,6.962767,1.356701,5.038172,7.588003,4.554298,2.539172,3.853552,3.793612,S  2
3.183057,1.079812,0.6251613,1.717081,2.895588,5.447522,1.420092,2.56012,3.693351,1.96364,1.923177,3.121817,1.262446,S  2
4.965055,-0.1992809,2.660894,3.067672,4.974959,9.157289,1.288397,7.304059,10.41914,6.127101,4.238345,7.49097,2.50526,S  2
4.605391,-0.1841931,0.8518223,1.566056,6.393478,9.892405,0.8837233,8.006072,11.33496,7.383818,4.390251,6.879283,4.450112,S  2
-6.365621,2.333925,1.454447,-5.02646,-3.072139,-5.819681,-0.430795,-3.818576,-4.730215,-2.588557,-5.886186,-6.324607,-3.341074,S  3
1.419062,0.09586998,0.3218497,-3.015059,-3.041364,-3.587126,1.593847,-4.365429,-5.895201,-3.880847,-5.743269,-5.903208,-4.007806,S  3
-2.606997,-3.828846,-2.772789,-2.937416,-1.654564,-3.529819,0.4548611,-2.444941,-0.950792,-0.244021,-4.36098,-2.945113,-2.682427,S  3
-2.449425,1.096957,3.353051,-0.9461303,1.956735,-3.379092,-0.3669561,1.516076,-0.3747579,2.680387,-0.5850064,0.05767328,0.5472559,S  3
-0.3440502,0.7997298,2.140148,-2.34636,3.384073,-5.36261,2.096828,1.014246,-1.003162,1.63892,0.07380641,-2.175147,-0.002096172,S  3
-0.8455985,-5.266601,-0.7651443,-1.071711,1.835338,-5.571201,2.105909,-0.5860425,-1.230829,-0.7778876,0.009037638,-2.022526,-0.2383943,S  3
-1.031104,-0.8249323,1.237695,2.21167,4.751578,0.04948746,-0.7695712,2.851493,2.188153,3.472194,3.159611,4.110242,3.272109,S  3
-0.569497,1.144681,3.796712,1.7051,8.252828,-0.3684904,1.301643,7.108386,7.162996,8.040685,5.533737,5.619882,6.028782,S  3
3.995756,-3.84803,-0.2445667,0.7962923,0.1697164,-3.671979,3.542448,-0.7333129,-1.547221,-1.349106,1.445051,-0.323312,1.737398,S  3
-1.827773,-0.8536533,0.148508,2.174623,1.776362,-0.1408639,0.1991031,-0.5136873,1.441157,0.3496677,2.097129,2.71726,3.453119,S  3
-2.45939,-1.014854,-0.6460949,1.148057,0.650772,0.2158544,0.3144538,0.7275047,3.112621,1.680807,-0.354691,2.242124,3.368748,S  3
1.523727,-1.525799,-0.8693349,-0.1267867,-4.583095,-0.1979967,-0.5599356,-2.779849,-0.2298106,-0.616584,-1.78555,0.5833738,1.624251,S  3
-2.00599,-1.288265,-0.3205095,-0.02674376,-4.856089,-2.334344,1.466962,-4.07915,0.2424707,-2.47153,-3.172918,-1.406639,1.005485,S  3
-2.371154,-3.09161,-5.006075,-2.453809,-8.997009,-4.044969,0.9191819,-8.308517,-5.349517,-6.469084,-8.191467,-6.171545,-2.655219,S  3
-4.435501,-0.7346939,-2.070337,-2.903585,-7.808613,-2.097152,-4.283261,-5.516459,-1.020904,-2.34605,-7.241745,-3.268611,-1.786207,S  3
-1.204762,-1.84206,-1.445815,-0.763028,-4.905795,0.01129192,0.1536714,-1.489207,2.104501,0.5407306,-5.330655,-0.8225791,-0.5204304,S  3
0.361225,-3.798669,-3.793594,-3.08521,-6.912956,-4.536298,2.637142,-6.090924,-4.01326,-3.733751,-7.244576,-5.507955,-3.791019,S  3
-1.513216,-1.776326,-3.05741,-2.077004,-3.951665,-2.239308,-1.996227,-2.016834,-0.1883721,-1.213994,-6.309918,-3.048366,-2.562835,S  3
4.246941,-0.4471787,-0.5445309,2.155266,2.490763,4.659645,-0.1639608,4.432057,4.313037,5.448321,-1.437115,4.831981,0.67504,S  3
1.082098,-2.894292,-1.033936,0.6291016,4.557281,2.391904,2.709753,4.461613,4.24222,5.117445,0.5720087,5.46714,0.8027029,S  3
7.005502,-2.251589,-2.52773,2.562637,3.919999,4.251614,2.295192,5.667343,3.533555,4.531779,1.015018,6.877846,1.078993,S  3
-2.635728,0.7643399,-1.030728,-0.3961852,-6.692413,-5.351923,-6.094288,-5.910096,-5.224498,-4.153588,-6.270276,-3.250846,-4.625187,S  7
-7.010801,-4.071997,-1.885799,-4.459912,-6.494023,-9.804496,-7.49152,-7.730492,-5.31627,-6.347522,-8.290941,-5.541754,-6.14988,S  7
-3.155962,-3.398395,0.4495701,-2.526943,-4.780077,-7.500974,-5.053081,-4.514099,-4.927093,-4.435666,-6.674186,-4.086823,-3.719081,S  7
-3.348617,-1.293068,-1.737277,-2.634557,-4.232985,-6.647381,-4.417699,-5.277997,-7.342641,-3.267639,-5.789067,-4.316858,-3.928759,S  7
-6.025177,-4.999886,-2.56812,-5.294384,-3.267546,-8.421385,-4.272096,-4.989053,-5.487295,-4.126209,-5.655492,-5.831615,-6.164191,S  7
-2.544202,-4.800465,-3.60513,-5.709054,-3.606358,-7.501774,-0.1605023,-4.806028,-6.096066,-6.025679,-7.56822,-6.881326,-5.421357,S  7
-1.289588,-4.393404,-4.743984,-3.644678,-0.447469,-3.487288,0.08423308,-3.416899,-5.525279,-3.9546,-6.179073,-5.435921,-4.520851,S  7
2.252217,-3.25908,-2.594822,-0.4910085,2.438371,1.209605,3.623047,0.9150156,-0.2278915,-0.4579254,-2.501616,-1.814742,-3.224792,S  7
1.873844,-3.711543,-3.951653,-3.019681,0.0915761,1.676628,4.758437,0.9019422,1.041563,-1.125584,-4.382353,-1.933395,-3.026124,S  7
3.283836,-4.990593,-3.96909,-0.8105406,2.558972,4.194891,5.96033,0.2567471,1.260359,-2.032986,-3.706451,-1.543248,-2.491439,S  7
6.809726,-2.888059,-3.883701,1.20745,0.7622105,6.129235,9.340452,0.4576731,0.2753804,-1.704325,-3.819862,0.3610938,-2.435733,S  7
3.355328,-3.607426,-2.323479,0.2250218,-0.6321016,6.210163,7.303311,0.3979597,1.796644,-1.715479,-3.848992,-0.1980512,-1.881269,S  7
4.153003,-4.87889,-0.3796985,1.869391,0.443783,6.761909,8.575122,0.8229552,3.766335,-0.1757522,-1.978861,1.429774,-0.2462738,S  7
2.425265,-4.776526,-2.692213,-1.721545,-4.933606,0.5279923,9.363575,-5.428601,-4.976924,-5.944444,-5.790306,-2.163244,-3.47892,S  7
-0.593813,-3.532448,0.201576,-1.41545,-3.665772,0.07228132,7.055537,-5.18398,-5.055713,-6.174187,-3.955063,-3.883889,-2.024968,S  7
-1.426126,-5.42196,0.8645561,-0.999005,-4.542889,-1.67371,7.274757,-4.99461,-4.259886,-4.459658,-3.699544,-4.696615,-2.063823,S  7
-5.815079,-6.128614,0.5787586,-4.756321,-7.051682,-7.974895,4.889992,-8.87442,-9.355293,-7.696468,-5.059019,-6.23406,-3.547071,S  7
-4.156846,-2.340973,3.461553,-3.501394,-2.22142,-6.788633,6.218703,-5.084232,-7.693575,-4.777304,-0.008427536,-5.158669,-0.07824434,S  7
-4.957075,-3.111407,2.174941,-3.960985,-2.789823,-7.605268,5.909836,-5.737201,-8.111898,-5.227869,-1.053982,-8.046466,-1.330249,S  7
-9.268875,-3.637865,0.5729865,-5.749255,-4.488316,-9.63591,1.210869,-6.333285,-8.906648,-5.586216,-2.477315,-7.687691,-2.493868,S  7
-1.559707,-0.2808328,5.48447,-0.7372549,4.40396,-3.466264,6.062074,2.553051,-0.8809045,2.9068,5.994631,0.3071613,4.148946,S  7
1.901312,3.891917,0.4310736,1.236745,-1.818662,-0.3878047,7.796515,-1.869938,0.009176434,-0.865814,0.3208992,0.4058071,3.459867,S  8
3.415624,4.045997,-0.8066965,4.371699,0.7931727,1.859411,9.806385,-0.008975335,2.261713,1.308642,1.525582,6.264114,5.849737,S  8
-0.384013,3.38416,1.285824,2.809302,1.739887,-0.976263,4.705416,0.4810084,2.633785,1.29774,1.495442,3.381518,4.652483,S  8
2.053122,4.137573,0.01128973,2.578021,-0.5624697,-0.7613455,7.467064,-1.35835,-0.369374,-0.1217576,-0.4674104,3.194316,3.608179,S  8
2.750046,1.212661,-3.106781,0.7519467,-1.120652,-2.61463,9.727407,-2.935296,-2.667297,-1.987442,-1.321606,1.760166,1.95524,S  8
-0.6311274,2.152522,1.744298,3.096152,4.16068,-0.540102,6.294198,3.369469,2.885758,4.933847,2.6504,5.195864,5.542866,S  8
0.1160358,5.315886,1.901087,3.76443,4.629891,0.3553044,6.193806,4.709321,3.531962,6.378053,2.573377,6.620656,6.89342,S  8
-1.145549,1.041886,-0.2130187,-1.342991,1.546768,-5.374211,6.534543,-2.462807,-4.422155,-1.346176,-1.023333,-1.616656,1.164137,S  8
-1.949541,1.058963,2.986311,0.7352522,3.745241,-2.695237,7.280858,3.063513,0.2938824,4.744739,2.589592,2.896343,4.518734,S  8
-1.364696,5.28406,3.802257,2.382877,7.267112,-1.314271,7.014698,6.757149,3.063503,7.751303,5.287934,4.587506,7.426676,S  8
-4.461724,3.474153,2.706718,-0.9864904,2.917508,-3.946447,5.186952,0.2780651,-1.809481,2.555169,1.523918,-0.2425581,3.489377,S  8
-1.87536,2.241897,4.479215,0.05132922,4.410562,-3.242592,5.573264,2.877845,0.3982839,4.288245,4.023164,1.459177,4.274208,S  8
-2.016536,2.950431,1.971264,0.2308926,3.557247,-4.023565,6.169936,1.465183,-1.884968,1.885671,3.323342,0.1885936,3.762446,S  8
-2.727652,4.553233,2.467643,0.1017934,2.064857,-2.173419,4.642182,1.723985,0.4318824,3.965071,3.230945,1.042146,4.492065,S  8
0.5499408,3.928491,2.402331,1.188947,1.927651,-1.847988,4.742467,0.6441247,-0.6362966,1.806793,2.963181,2.205378,2.862561,S  8
-1.407467,0.9766412,-2.349062,-0.05518248,-0.9189492,-2.977915,0.5704915,-2.276482,-3.054848,-0.7247865,0.09660879,0.1173194,1.077641,S  8
1.932768,2.254601,0.02213044,1.708905,2.850468,-1.715269,0.2025375,1.001346,0.5326123,1.667402,2.44273,0.792877,2.828309,S  8
1.268935,2.639847,-1.454462,0.6185651,-2.70165,-2.098139,0.430265,-2.593167,-3.365375,-1.217686,-0.633977,1.381958,0.2294988,S  8
1.498557,0.6499696,-3.881026,1.354162,0.2451444,0.3452481,-4.556535,0.4361245,-0.1825938,2.473035,0.01607577,3.39506,1.009164,S  8
2.525973,0.3313773,-2.095167,1.90769,3.217553,-1.946242,-7.502551,-0.6115389,0.4317792,0.2009997,-0.02124239,1.160333,0.6001088,S  8
0.07141471,-0.9694874,-1.718805,-0.3969339,-1.023027,-2.876869,-9.291793,-0.7421326,-2.083791,0.2405632,-0.5566491,-0.2080234,-0.09918498,S  8
-1.558456,-3.297568,-5.317048,-2.878809,-1.262635,-4.226986,7.125902,-0.2973967,-2.86565,-2.594764,-2.18061,-9.714473,-2.573892,S  9
-0.3094404,-4.100672,-6.52396,-2.045596,-0.8267111,-1.300536,5.102433,-0.1257264,-1.792392,-1.638079,-0.8826228,-8.694596,-2.267305,S  9
-5.150325,-0.4007549,-3.349354,-3.634095,-1.491957,-2.293979,-4.015863,0.1917392,-2.737522,-2.052406,-2.08333,-9.067027,-3.517554,S  9
-0.001516416,-2.126452,-3.611979,-2.79512,-2.090196,-3.016281,-5.291925,0.3029641,-4.746304,-2.355003,-2.626929,-10.26107,-3.547107,S  9
0.165623,0.1523403,-1.597533,-0.4595481,0.8739859,2.971498,-10.36359,3.943226,-1.535129,2.030565,1.963869,-5.56923,-0.1087686,S  9
-4.239933,0.0432303,-0.570542,-1.809906,-0.621456,-0.2292384,-14.08103,-0.1233508,-4.658558,-1.831806,-0.3041919,-5.286568,-1.944739,S  9
1.455511,1.416501,0.3090596,0.6510357,0.1602624,1.34586,-15.20942,2.094307,-2.356375,-0.5145152,0.5937999,-4.804897,-0.5234508,S  9
0.1520531,2.458485,-1.121521,-0.6263567,-1.726593,1.251893,-17.88548,0.1753188,-6.337869,-3.030967,-1.257839,-6.499883,-1.944039,S  9
-0.0001828685,-0.2555443,-1.137042,-0.2752459,-1.682747,2.155746,-16.60043,0.3237169,-5.361634,-2.601553,-0.4398633,-2.297734,-1.458742,S  9
0.6542853,2.965498,2.70318,2.596425,1.530998,2.084263,-18.49556,0.7195005,-2.157796,-2.070807,1.939782,-1.301179,1.372858,S  9
0.6118038,4.457078,-0.2181244,1.613393,-0.7073064,0.01478572,-13.82329,-2.23116,-6.656129,-6.506899,-1.134523,-4.905776,-0.7884958,S  9
1.368719,1.697584,0.1463878,0.7180584,-0.6920239,1.068567,-14.40479,1.256158,-4.529415,-3.913544,1.010572,-3.160402,-0.4624713,S  9
-1.361781,2.149874,1.049136,1.059653,2.373754,-0.6127608,-15.64648,0.6236297,-2.42701,-3.975824,1.765291,-3.089263,0.7656325,S  9
-0.008371443,5.005974,2.068678,3.757111,1.946452,0.6452531,-8.003034,-0.5766435,-3.590182,-4.718122,1.427537,-2.208791,1.24962,S  9
-0.2283844,3.364439,1.475607,0.51256,-0.03676705,-3.07647,-12.4304,-1.306148,-5.314007,-7.038885,1.646891,-6.626946,-0.1832993,S  9
-3.093259,3.300661,2.237176,1.143523,5.784775,-0.3513259,-11.37237,6.07731,2.091781,0.2157258,5.301437,-3.239055,2.883677,S  9
-1.108149,2.558429,0.8252972,1.912516,0.8610575,-0.606583,-7.518063,0.466594,-3.436533,-3.258254,0.9022008,-3.151463,-0.2175429,S  9
-0.04217701,3.530864,1.751627,1.498828,0.6941794,-1.556324,-11.44639,0.02754521,-1.550543,-3.826767,2.861065,-4.711377,1.309495,S  9
-2.295167,3.156245,5.134522,2.714434,5.241139,1.810673,-10.51683,7.76756,4.48423,4.005355,5.979103,-0.1124135,4.071416,S  9
1.510946,2.221318,-0.5595907,2.16898,0.5024996,2.21168,-7.747439,3.732605,0.8960487,1.038905,2.235759,0.2613723,1.442079,S  9
2.193005,2.716932,2.998571,3.552508,2.105396,4.235669,-9.828772,5.875268,5.337868,4.02326,4.859968,2.091883,3.803653,S  9
-3.773005,-0.8212479,-9.617243,-4.557755,-6.751186,-6.226142,-4.036202,-6.992781,-5.701542,-7.204834,-6.386396,-5.46866,-5.020776,boundary
-6.481949,2.38129,-0.346905,-0.9751121,-1.04799,-2.471467,-9.27814,-0.4255258,0.5181659,0.0004430703,0.1385456,1.157039,0.2040376,boundary
-2.159043,2.629227,-4.975819,-3.781628,-4.685579,-5.155097,-7.485169,-5.712833,-2.837287,-5.645792,-4.112607,-3.058938,-4.716998,boundary
-1.367215,2.401274,-6.525414,-2.628175,-3.595516,-4.074985,-5.357693,-4.077092,-3.274805,-4.411335,-2.209231,-1.746849,-3.533557,boundary
-8.419894,5.077997,1.122528,-1.853746,0.4173889,-4.126606,-9.722902,-1.212787,-1.62981,-1.104134,3.037394,-0.9995103,0.7353441,boundary
-3.817161,3.195033,-5.986868,-5.814106,-7.159589,-8.504442,-7.240044,-9.998918,-9.795394,-10.19987,-5.306199,-7.250004,-6.019794,boundary
-5.31226,3.793987,-2.752453,-1.42908,-2.222736,-3.868705,-9.619449,-1.751918,-2.544984,-2.127794,0.1387358,-0.7290493,-2.426799,boundary
-4.280274,4.91045,-2.016402,-2.656754,-1.885609,-4.658447,-7.921213,-2.311568,-4.441088,-2.81026,1.06157,-3.321663,-1.156532,boundary
-9.238085,4.768685,-2.433297,-3.518506,-3.182286,-6.299279,-9.679549,-4.447558,-7.030963,-6.291155,-0.6182169,-5.456264,-1.928723,boundary
-8.585193,4.992413,0.1369696,-1.157267,-1.188459,-5.077927,-11.66618,-0.45891,-3.566486,-1.504696,0.5699213,-3.337165,-0.5814078,boundary
2.48221,4.213913,-1.644647,1.436712,2.139728,6.167956,11.60301,1.929154,2.484756,2.729761,2.312708,4.45144,2.659616,boundary
-5.294968,1.462162,-2.594316,-4.077355,-1.746059,-4.230848,5.171756,-4.541881,-4.388545,-5.294464,-1.765798,-5.496226,-2.128409,boundary
-5.201031,1.241671,-3.607592,-3.5365,-3.208539,-1.244015,-0.8438374,-1.610139,-1.654811,-2.255748,-2.407562,-3.397916,-2.313229,boundary
0.648959,2.020489,-1.779006,-0.9932176,4.233652,2.09036,-2.495183,1.288156,0.5384612,0.1156639,2.394682,0.5913905,0.6018809,boundary
0.5193753,-0.7201722,-3.45908,-2.215662,-7.076859,-3.455045,-4.825709,-3.313279,-4.44584,-4.510458,-3.471343,-5.729477,-2.447249,boundary
-9.490154,-0.7124271,-4.562198,-5.596078,-4.638168,-4.543635,-11.15193,-2.291035,-4.88857,-3.57818,-3.22973,-7.451495,-3.740338,boundary
-1.431307,1.157865,-0.467419,-0.595657,4.16821,1.063852,-11.29716,3.535368,1.909744,2.017004,2.737746,-0.1368992,2.030343,boundary
1.127327,-1.448485,-4.632795,-2.068578,-8.964995,-5.89297,-9.389469,-5.276972,-8.457311,-7.238482,-4.778894,-6.032992,-3.648169,boundary
-3.032169,-0.009829009,-2.797625,-1.068443,-1.898363,-1.014939,-9.959757,1.632022,-2.436725,1.037732,-0.6754159,-2.964925,0.1485358,boundary
-1.686491,2.312874,-0.3551596,1.726538,3.110011,2.38106,-9.735524,6.050742,3.174553,5.196252,2.483666,2.056077,4.328866,boundary
-2.11373,0.4817856,-2.555185,-1.736188,-6.239233,-4.897196,-7.882588,-3.343128,-6.47301,-4.459463,-2.739308,-1.828867,-0.8765706,boundary
-1.685405,-1.566949,-1.489651,-2.88187,-0.1486424,-4.393888,-9.967837,-5.564257,-6.143547,-6.871109,-3.466216,-7.009758,-4.005207,S  2
-4.637614,-0.1906184,1.25395,-0.8842654,-4.096912,-1.697256,-8.425599,-3.007752,-2.047965,-3.280826,-0.9664168,-2.268132,0.6542029,S  2
-1.251328,-2.952552,-2.611568,-3.169821,-11.52115,-6.439123,-5.812128,-10.885,-7.944739,-11.34846,-6.660396,-6.329062,-3.754476,S  2
-5.580115,-2.456783,-0.8602068,-5.032743,-3.139836,-7.592767,-5.747303,-9.043292,-8.110681,-10.79149,-3.738225,-9.993337,-4.691221,S  2
-3.174134,-1.934043,0.4467475,0.6138027,-2.782269,-1.796927,-0.07767438,-3.164822,-3.685262,-4.734252,-0.2478105,-0.61435,0.9389489,S  2
-4.188056,-1.67538,-3.75104,-3.586573,-8.083755,-9.740648,-0.8527021,-8.493943,-6.595587,-10.09507,-5.057696,-4.703591,-3.424224,S  2
-3.54897,-1.974573,1.167837,-2.921004,-4.963271,-7.498747,0.1061249,-6.907552,-5.400782,-8.622953,-2.509481,-4.287629,-2.478339,S  2
