segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-1.907099,1.615326,-0.08407477,0.9435955,1.869874,-2.858834,3.073211,0.7480316,0.1595664,-0.5519273,-2.249751,-2.243316,0.01028641,-0.9642874,2.55997,1.628208,boundary
-1.029361,2.445368,2.748468,-0.2943498,1.080207,0.8313097,2.823788,0.6727744,0.8726905,0.2891458,0.2782283,0.9461702,1.936408,0.1443697,2.340464,-0.7090626,boundary
0.4768642,2.079592,-1.575984,0.6546346,1.203095,0.7661594,4.013306,-0.6533472,-0.6456918,1.044088,2.212992,2.83215,2.530451,1.451404,2.29899,0.9494474,boundary
0.4398733,3.667,-0.1781813,2.095044,4.155053,2.384675,7.868929,0.2620869,0.5465907,1.519466,3.157106,7.431901,9.012403,4.305242,7.61891,5.225097,boundary
2.083196,3.895963,3.270505,2.113641,3.314552,5.556635,4.561355,0.3034508,0.5268363,2.953953,3.145296,8.542336,8.467415,5.020894,5.094615,3.385858,boundary
1.918587,2.908426,-0.7295042,1.487936,2.222886,2.657772,5.745147,-0.7086286,0.1342335,2.658654,5.48554,9.694519,7.82079,3.854251,4.463872,1.739356,boundary
-0.7623221,1.915915,-3.102699,-0.1265996,2.14981,2.083248,3.530561,-1.789728,-0.7649619,-0.4693446,3.911679,5.712125,6.456219,2.827085,3.749672,2.407183,boundary
0.9750086,1.722859,0.9432793,-0.4747169,1.519689,1.168765,2.443874,-0.4418065,-0.3913038,0.9173807,1.246788,6.466181,5.217096,2.01824,2.734593,1.587317,boundary
0.01659549,0.9291723,-1.453462,0.2056296,1.209089,0.2005695,1.58811,-0.870918,0.8270027,0.3814584,4.649855,6.989055,5.313529,2.003375,1.915746,0.6638982,boundary
-2.98995,0.1481952,-4.523338,-2.695359,-0.1989928,-3.113542,-1.185516,-2.709119,-1.412991,-3.393604,1.570111,0.2949618,-0.6553764,-1.740916,-1.35787,-1.648685,boundary
-1.907099,1.615326,-0.08407477,0.9435955,1.869874,-2.858834,3.073211,0.7480316,0.1595664,-0.5519273,-2.249751,-2.243316,0.01028641,-0.9642874,2.55997,1.628208,boundary
-1.029361,2.445368,2.748468,-0.2943498,1.080207,0.8313097,2.823788,0.6727744,0.8726905,0.2891458,0.2782283,0.9461702,1.936408,0.1443697,2.340464,-0.7090626,boundary
0.4768642,2.079592,-1.575984,0.6546346,1.203095,0.7661594,4.013306,-0.6533472,-0.6456918,1.044088,2.212992,2.83215,2.530451,1.451404,2.29899,0.9494474,boundary
0.4398733,3.667,-0.1781813,2.095044,4.155053,2.384675,7.868929,0.2620869,0.5465907,1.519466,3.157106,7.431901,9.012403,4.305242,7.61891,5.225097,boundary
2.083196,3.895963,3.270505,2.113641,3.314552,5.556635,4.561355,0.3034508,0.5268363,2.953953,3.145296,8.542336,8.467415,5.020894,5.094615,3.385858,boundary
1.918587,2.908426,-0.7295042,1.487936,2.222886,2.657772,5.745147,-0.7086286,0.1342335,2.658654,5.48554,9.694519,7.82079,3.854251,4.463872,1.739356,boundary
-0.7623221,1.915915,-3.102699,-0.1265996,2.14981,2.083248,3.530561,-1.789728,-0.7649619,-0.4693446,3.911679,5.712125,6.456219,2.827085,3.749672,2.407183,boundary
0.9750086,1.722859,0.9432793,-0.4747169,1.519689,1.168765,2.443874,-0.4418065,-0.3913038,0.9173807,1.246788,6.466181,5.217096,2.01824,2.734593,1.587317,boundary
0.01659549,0.9291723,-1.453462,0.2056296,1.209089,0.2005695,1.58811,-0.870918,0.8270027,0.3814584,4.649855,6.989055,5.313529,2.003375,1.915746,0.6638982,boundary
-2.98995,0.1481952,-4.523338,-2.695359,-0.1989928,-3.113542,-1.185516,-2.709119,-1.412991,-3.393604,1.570111,0.2949618,-0.6553764,-1.740916,-1.35787,-1.648685,boundary
-2.701085,-2.085438,-1.53954,-3.965098,-1.860362,-5.762157,-2.428354,-0.9346089,-1.159113,-4.118553,-2.483171,-3.378383,-4.332864,-4.34579,-2.771815,-3.374298,boundary
-0.5852215,3.413855,2.156056,-0.1776138,0.0235798,-0.6608412,4.436548,0.2082115,1.607096,-0.4343534,3.87289,-2.242721,-1.636357,-0.08113184,1.541487,-0.3413891,S  5
-0.1156503,-0.4150532,-0.3337012,-0.6380084,-1.22147,0.5486914,-0.2129452,0.480492,0.2043173,1.467086,-0.3504429,-0.1613377,-0.8995225,1.040268,-0.9413957,-0.9110625,S  5
-0.5094711,-1.874594,-3.894356,-3.186561,-4.450394,-1.778722,-3.386376,-0.5808331,-1.517047,2.093869,-1.863455,-3.124451,-3.083702,-2.155322,-4.152835,-3.275762,S  5
-1.000643,1.32768,0.4625539,-2.973825,-2.892232,-0.8341233,0.8146949,-0.2424941,0.8479771,-0.6602495,3.574194,-2.378031,-1.65915,-1.49737,-1.844284,-3.092793,S  5
