segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,segmentData17,labels
2.729259,5.197858,1.317781,13.22641,9.298061,20.2972,15.62052,1.751572,-7.512275,4.4824,3.268347,-7.738301,9.12536,7.717002,18.30658,17.59022,9.975197,boundary
4.411004,7.270374,1.279863,15.16387,9.314774,22.54145,15.82496,1.314119,-4.589452,8.710765,10.16955,-6.110855,15.34463,11.94421,19.01176,18.61646,9.069433,boundary
0.2318329,4.247431,-0.8400702,11.6331,5.857902,19.69892,12.58724,0.3844187,-6.197706,6.943724,8.792231,-8.510764,9.650468,7.742874,17.8936,14.14584,5.679116,boundary
-2.024222,8.370556,-1.319641,8.735565,6.2958,17.57612,12.58203,1.382887,-5.704265,5.744254,9.672673,-13.61892,2.73782,2.079276,14.15798,13.39137,4.350711,boundary
-1.823729,3.450778,-3.790071,6.363876,3.296411,19.00593,8.112782,0.068575,-4.250498,9.233102,11.98131,-11.3256,10.48135,6.395317,12.82003,10.7956,1.907951,boundary
-6.223451,0.1053008,-5.295045,3.422869,-1.161494,13.59594,2.983836,-0.8880755,-5.831226,5.374684,8.172305,-20.63488,-6.200115,-5.237113,7.314888,4.374249,-4.474249,boundary
-6.321183,3.238922,-5.851302,4.147553,-0.982842,10.71931,1.997361,1.669326,-6.141054,6.423681,8.672987,-24.132,-4.313887,-4.095348,3.937826,4.317595,-5.806969,boundary
-9.374546,-0.8548624,-9.337245,-4.256551,-4.544162,9.364749,-0.7610355,0.1813378,-6.694177,5.986848,9.598351,-27.50126,-5.072699,-9.667691,-0.6331027,0.9482715,-9.801781,boundary
-10.54998,-1.807937,-8.329235,-3.551754,-5.887594,7.28175,-4.531903,-0.7076237,-7.178299,0.376123,5.564462,-33.16792,-19.18432,-16.5864,-4.322283,-2.237335,-12.01547,boundary
-8.530332,-5.060246,-8.838406,0.1164141,-6.476445,4.390426,-7.777365,1.668593,-8.514039,2.654895,1.683078,-37.74454,-14.15683,-13.55088,-4.858679,-3.593061,-12.37443,boundary
2.729259,5.197858,1.317781,13.22641,9.298061,20.2972,15.62052,1.751572,-7.512275,4.4824,3.268347,-7.738301,9.12536,7.717002,18.30658,17.59022,9.975197,boundary
4.411004,7.270374,1.279863,15.16387,9.314774,22.54145,15.82496,1.314119,-4.589452,8.710765,10.16955,-6.110855,15.34463,11.94421,19.01176,18.61646,9.069433,boundary
0.2318329,4.247431,-0.8400702,11.6331,5.857902,19.69892,12.58724,0.3844187,-6.197706,6.943724,8.792231,-8.510764,9.650468,7.742874,17.8936,14.14584,5.679116,boundary
-2.024222,8.370556,-1.319641,8.735565,6.2958,17.57612,12.58203,1.382887,-5.704265,5.744254,9.672673,-13.61892,2.73782,2.079276,14.15798,13.39137,4.350711,boundary
-1.823729,3.450778,-3.790071,6.363876,3.296411,19.00593,8.112782,0.068575,-4.250498,9.233102,11.98131,-11.3256,10.48135,6.395317,12.82003,10.7956,1.907951,boundary
-6.223451,0.1053008,-5.295045,3.422869,-1.161494,13.59594,2.983836,-0.8880755,-5.831226,5.374684,8.172305,-20.63488,-6.200115,-5.237113,7.314888,4.374249,-4.474249,boundary
