segmentData1,segmentData2,segmentData3,segmentData4,segmentData5,segmentData6,segmentData7,segmentData8,segmentData9,segmentData10,segmentData11,segmentData12,segmentData13,segmentData14,segmentData15,segmentData16,labels
-23.43462,13.07401,2.229939,2.666049,7.632917,-6.606866,21.28138,-2.564297,1.304229,-14.11691,-9.676372,-18.68801,-12.01994,-1.834745,9.690186,26.56885,boundary
-20.75807,6.440825,4.639878,3.356122,5.550102,-3.680197,11.38401,-0.3005733,-0.288715,-11.91144,-10.08368,-16.35972,-6.863136,1.166939,5.28768,27.22275,boundary
-20.44615,0.3165096,-1.486961,2.98708,-0.6271881,-6.436579,6.900265,-1.837206,-2.506137,-12.8663,-10.29494,-20.95546,-12.18948,-4.034464,-0.4784932,21.75384,boundary
-21.7608,6.168786,0.804148,-0.7970928,0.4298434,-7.614274,6.549021,-3.092667,0.4347938,-9.60835,-8.33171,-18.39428,-12.69922,-4.589521,-0.7180597,18.83487,boundary
-18.60327,-5.238744,0.8768768,0.7390077,-1.554004,-6.108034,1.384488,-0.8744223,-2.688728,-8.758304,-9.768964,-15.52811,-9.271417,-1.52089,-0.8529531,19.49172,boundary
-17.44818,-5.512589,-6.505974,-2.071049,-7.716794,-8.646236,-5.530496,0.2558105,-4.815907,-8.603164,-21.06451,-21.83926,-16.2787,-7.808871,-9.686925,13.7525,boundary
-19.13618,-9.409917,-5.127648,-5.331133,-11.75261,-11.26874,-14.42241,-1.976393,-3.433704,-7.777409,-5.531017,-21.53321,-13.83282,-10.60117,-15.17442,7.119084,boundary
-18.72287,-13.7368,-8.242296,-6.09485,-10.30048,-11.91825,-9.150579,-2.268511,-3.690398,-9.421405,-16.385,-20.16619,-19.10996,-10.38669,-10.85865,7.846929,boundary
-16.11304,-11.93947,-7.334455,-7.642152,-13.79882,-11.28472,-13.89731,1.101838,-5.180585,-4.008682,-23.65237,-21.75666,-17.37988,-10.97667,-14.64157,5.926246,boundary
-17.34811,-19.43785,-13.03933,-9.511608,-18.1871,-14.95226,-23.9531,0.4309384,-7.46195,-9.981517,-12.20729,-24.75714,-20.83401,-15.1436,-22.15128,-0.3734087,boundary
-23.43462,13.07401,2.229939,2.666049,7.632917,-6.606866,21.28138,-2.564297,1.304229,-14.11691,-9.676372,-18.68801,-12.01994,-1.834745,9.690186,26.56885,boundary
-20.75807,6.440825,4.639878,3.356122,5.550102,-3.680197,11.38401,-0.3005733,-0.288715,-11.91144,-10.08368,-16.35972,-6.863136,1.166939,5.28768,27.22275,boundary
-20.44615,0.3165096,-1.486961,2.98708,-0.6271881,-6.436579,6.900265,-1.837206,-2.506137,-12.8663,-10.29494,-20.95546,-12.18948,-4.034464,-0.4784932,21.75384,boundary
-21.7608,6.168786,0.804148,-0.7970928,0.4298434,-7.614274,6.549021,-3.092667,0.4347938,-9.60835,-8.33171,-18.39428,-12.69922,-4.589521,-0.7180597,18.83487,boundary
